method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac,logreg,0,0.7685185185185186,0.7703703703703704,0.7441860465116279,0.8,0.7407407407407407
brainiac,logreg,1,0.6907407407407408,0.6462962962962963,0.6222222222222222,0.7,0.5925925925925926
brainiac,logreg,2,0.7685185185185186,0.6703703703703703,0.6153846153846154,0.6,0.7407407407407407
brainiac,logreg,3,0.7166666666666667,0.6518518518518519,0.6,0.6,0.7037037037037037
brainiac,logreg,4,0.8018518518518518,0.6944444444444444,0.6060606060606061,0.5,0.8888888888888888
brainiac,svm_linear,0,0.7611111111111111,0.7203703703703703,0.6829268292682926,0.7,0.7407407407407407
brainiac,svm_linear,1,0.7129629629629629,0.6833333333333333,0.6511627906976744,0.7,0.6666666666666666
brainiac,svm_linear,2,0.7777777777777778,0.6888888888888889,0.631578947368421,0.6,0.7777777777777778
brainiac,svm_linear,3,0.6925925925925926,0.6453703703703704,0.5789473684210527,0.55,0.7407407407407407
brainiac,svm_linear,4,0.8037037037037037,0.712962962962963,0.625,0.5,0.9259259259259259
brainiac,svm_rbf,0,0.7574074074074074,0.7138888888888889,0.6666666666666667,0.65,0.7777777777777778
brainiac,svm_rbf,1,0.6546296296296297,0.5962962962962963,0.5581395348837209,0.6,0.5925925925925926
brainiac,svm_rbf,2,0.7129629629629629,0.6444444444444444,0.5161290322580645,0.4,0.8888888888888888
brainiac,svm_rbf,3,0.6314814814814815,0.6027777777777779,0.5777777777777778,0.65,0.5555555555555556
brainiac,svm_rbf,4,0.7740740740740741,0.7194444444444444,0.6470588235294117,0.55,0.8888888888888888
brainiac,random_forest,0,0.7435185185185186,0.7018518518518518,0.6666666666666666,0.7,0.7037037037037037
brainiac,random_forest,1,0.5944444444444444,0.5342592592592592,0.5,0.55,0.5185185185185185
brainiac,random_forest,2,0.7407407407407407,0.6518518518518519,0.6,0.6,0.7037037037037037
brainiac,random_forest,3,0.7194444444444444,0.6962962962962963,0.6808510638297872,0.8,0.5925925925925926
brainiac,random_forest,4,0.8018518518518518,0.7074074074074074,0.6486486486486486,0.6,0.8148148148148148
brainiac,xgboost,0,0.7074074074074075,0.6083333333333334,0.55,0.55,0.6666666666666666
brainiac,xgboost,1,0.6222222222222222,0.5833333333333333,0.5128205128205129,0.5,0.6666666666666666
brainiac,xgboost,2,0.6907407407407408,0.5898148148148148,0.5365853658536585,0.55,0.6296296296296297
brainiac,xgboost,3,0.6925925925925925,0.6583333333333333,0.6190476190476191,0.65,0.6666666666666666
brainiac,xgboost,4,0.7814814814814814,0.6824074074074074,0.6111111111111112,0.55,0.8148148148148148
brainiac,lightgbm,0,0.7129629629629629,0.6583333333333333,0.6190476190476191,0.65,0.6666666666666666
brainiac,lightgbm,1,0.6944444444444445,0.6148148148148148,0.5714285714285713,0.6,0.6296296296296297
brainiac,lightgbm,2,0.6814814814814815,0.6518518518518519,0.6,0.6,0.7037037037037037
brainiac,lightgbm,3,0.6685185185185185,0.5777777777777777,0.5454545454545454,0.6,0.5555555555555556
brainiac,lightgbm,4,0.7944444444444444,0.6759259259259259,0.588235294117647,0.5,0.8518518518518519
