method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
radiomics,logreg,0,0.712962962962963,0.663888888888889,0.5945945945945946,0.55,0.7777777777777778
radiomics,logreg,1,0.7425925925925926,0.7277777777777779,0.7200000000000001,0.9,0.5555555555555556
radiomics,logreg,2,0.7092592592592593,0.6074074074074074,0.4848484848484849,0.4,0.8148148148148148
radiomics,logreg,3,0.7648148148148148,0.7268518518518519,0.6976744186046512,0.75,0.7037037037037037
radiomics,logreg,4,0.75,0.662962962962963,0.5333333333333333,0.4,0.9259259259259259
radiomics,svm_linear,0,0.7351851851851853,0.5703703703703704,0.4571428571428572,0.4,0.7407407407407407
radiomics,svm_linear,1,0.7407407407407407,0.7462962962962962,0.7346938775510204,0.9,0.5925925925925926
radiomics,svm_linear,2,0.7185185185185186,0.6444444444444444,0.5161290322580645,0.4,0.8888888888888888
radiomics,svm_linear,3,0.762962962962963,0.7268518518518519,0.6976744186046512,0.75,0.7037037037037037
radiomics,svm_linear,4,0.7555555555555555,0.637962962962963,0.48275862068965514,0.35,0.9259259259259259
radiomics,svm_rbf,0,0.7388888888888889,0.6453703703703704,0.5789473684210527,0.55,0.7407407407407407
radiomics,svm_rbf,1,0.762962962962963,0.6907407407407408,0.6923076923076923,0.9,0.48148148148148145
radiomics,svm_rbf,2,0.7416666666666667,0.562962962962963,0.30769230769230765,0.2,0.9259259259259259
radiomics,svm_rbf,3,0.7574074074074074,0.6138888888888889,0.5142857142857143,0.45,0.7777777777777778
radiomics,svm_rbf,4,0.737037037037037,0.637962962962963,0.48275862068965514,0.35,0.9259259259259259
radiomics,random_forest,0,0.7055555555555556,0.6148148148148148,0.5714285714285713,0.6,0.6296296296296297
radiomics,random_forest,1,0.7555555555555555,0.7157407407407407,0.7169811320754716,0.95,0.48148148148148145
radiomics,random_forest,2,0.7240740740740741,0.6453703703703704,0.5789473684210527,0.55,0.7407407407407407
radiomics,random_forest,3,0.7388888888888889,0.6453703703703704,0.5789473684210527,0.55,0.7407407407407407
radiomics,random_forest,4,0.7342592592592592,0.6888888888888889,0.631578947368421,0.6,0.7777777777777778
radiomics,xgboost,0,0.6666666666666667,0.5583333333333333,0.4736842105263158,0.45,0.6666666666666666
radiomics,xgboost,1,0.7518518518518519,0.6777777777777778,0.6666666666666666,0.8,0.5555555555555556
radiomics,xgboost,2,0.6981481481481482,0.6388888888888888,0.5555555555555556,0.5,0.7777777777777778
radiomics,xgboost,3,0.7703703703703704,0.6953703703703704,0.65,0.65,0.7407407407407407
radiomics,xgboost,4,0.7666666666666666,0.6388888888888888,0.5555555555555556,0.5,0.7777777777777778
radiomics,lightgbm,0,0.6944444444444444,0.5833333333333333,0.5128205128205129,0.5,0.6666666666666666
radiomics,lightgbm,1,0.7777777777777778,0.6472222222222221,0.6538461538461537,0.85,0.4444444444444444
radiomics,lightgbm,2,0.6703703703703703,0.5833333333333333,0.5128205128205129,0.5,0.6666666666666666
radiomics,lightgbm,3,0.7898148148148147,0.7703703703703704,0.7441860465116279,0.8,0.7407407407407407
radiomics,lightgbm,4,0.7537037037037037,0.6388888888888888,0.5555555555555556,0.5,0.7777777777777778
