method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
volumetry,logreg,0,0.7907407407407407,0.6703703703703703,0.6153846153846154,0.6,0.7407407407407407
volumetry,logreg,1,0.774074074074074,0.7398148148148148,0.723404255319149,0.85,0.6296296296296297
volumetry,logreg,2,0.7703703703703704,0.662962962962963,0.5333333333333333,0.4,0.9259259259259259
volumetry,logreg,3,0.7407407407407407,0.6333333333333333,0.5853658536585366,0.6,0.6666666666666666
volumetry,logreg,4,0.8462962962962963,0.7379629629629629,0.6666666666666667,0.55,0.9259259259259259
volumetry,svm_linear,0,0.7814814814814814,0.6703703703703703,0.6153846153846154,0.6,0.7407407407407407
volumetry,svm_linear,1,0.7759259259259259,0.7398148148148148,0.723404255319149,0.85,0.6296296296296297
volumetry,svm_linear,2,0.7592592592592592,0.662962962962963,0.5333333333333333,0.4,0.9259259259259259
volumetry,svm_linear,3,0.7333333333333334,0.6333333333333333,0.5853658536585366,0.6,0.6666666666666666
volumetry,svm_linear,4,0.8500000000000001,0.7379629629629629,0.6666666666666667,0.55,0.9259259259259259
volumetry,svm_rbf,0,0.8055555555555556,0.6333333333333333,0.5853658536585366,0.6,0.6666666666666666
volumetry,svm_rbf,1,0.7148148148148148,0.6842592592592592,0.68,0.85,0.5185185185185185
volumetry,svm_rbf,2,0.6981481481481482,0.625925925925926,0.5,0.4,0.8518518518518519
volumetry,svm_rbf,3,0.7333333333333333,0.6768518518518518,0.6341463414634146,0.65,0.7037037037037037
volumetry,svm_rbf,4,0.7907407407407406,0.7379629629629629,0.6666666666666667,0.55,0.9259259259259259
volumetry,random_forest,0,0.6185185185185185,0.5527777777777778,0.5116279069767442,0.55,0.5555555555555556
volumetry,random_forest,1,0.6138888888888889,0.5722222222222222,0.5714285714285714,0.7,0.4444444444444444
volumetry,random_forest,2,0.712037037037037,0.625925925925926,0.5,0.4,0.8518518518518519
volumetry,random_forest,3,0.7277777777777779,0.6583333333333333,0.6190476190476191,0.65,0.6666666666666666
volumetry,random_forest,4,0.8583333333333334,0.7694444444444444,0.7222222222222223,0.65,0.8888888888888888
volumetry,xgboost,0,0.587037037037037,0.6212962962962962,0.5909090909090908,0.65,0.5925925925925926
volumetry,xgboost,1,0.587962962962963,0.5666666666666667,0.5925925925925927,0.8,0.3333333333333333
volumetry,xgboost,2,0.7611111111111111,0.5824074074074074,0.4375,0.35,0.8148148148148148
volumetry,xgboost,3,0.7407407407407408,0.7018518518518518,0.6666666666666666,0.7,0.7037037037037037
volumetry,xgboost,4,0.8240740740740742,0.7564814814814815,0.6874999999999999,0.55,0.9629629629629629
volumetry,lightgbm,0,0.625,0.5398148148148149,0.46153846153846156,0.45,0.6296296296296297
volumetry,lightgbm,1,0.6018518518518519,0.5787037037037037,0.5882352941176471,0.75,0.4074074074074074
volumetry,lightgbm,2,0.799074074074074,0.6944444444444444,0.6060606060606061,0.5,0.8888888888888888
volumetry,lightgbm,3,0.7472222222222222,0.6333333333333333,0.5853658536585366,0.6,0.6666666666666666
volumetry,lightgbm,4,0.8416666666666667,0.7379629629629629,0.6666666666666667,0.55,0.9259259259259259
