method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac,logreg,0,0.71280276816609,0.6176470588235294,0.6285714285714287,0.6470588235294118,0.5882352941176471
brainiac,logreg,1,0.8512110726643598,0.7647058823529411,0.7647058823529412,0.7647058823529411,0.7647058823529411
brainiac,logreg,2,0.8858131487889273,0.8529411764705882,0.8387096774193549,0.7647058823529411,0.9411764705882353
brainiac,logreg,3,0.7958477508650519,0.7058823529411764,0.6875,0.6470588235294118,0.7647058823529411
brainiac,logreg,4,0.7508650519031141,0.6764705882352942,0.5925925925925927,0.47058823529411764,0.8823529411764706
brainiac,svm_linear,0,0.698961937716263,0.5882352941176471,0.6315789473684211,0.7058823529411765,0.47058823529411764
brainiac,svm_linear,1,0.8615916955017301,0.7352941176470589,0.7567567567567567,0.8235294117647058,0.6470588235294118
brainiac,svm_linear,2,0.8858131487889274,0.8235294117647058,0.8125,0.7647058823529411,0.8823529411764706
brainiac,svm_linear,3,0.8166089965397924,0.7352941176470589,0.7428571428571428,0.7647058823529411,0.7058823529411765
brainiac,svm_linear,4,0.7577854671280276,0.7058823529411764,0.6153846153846153,0.47058823529411764,0.9411764705882353
brainiac,svm_rbf,0,0.754325259515571,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
brainiac,svm_rbf,1,0.740484429065744,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
brainiac,svm_rbf,2,0.7889273356401384,0.7058823529411764,0.6666666666666667,0.5882352941176471,0.8235294117647058
brainiac,svm_rbf,3,0.7681660899653979,0.6470588235294118,0.625,0.5882352941176471,0.7058823529411765
brainiac,svm_rbf,4,0.6505190311418685,0.6176470588235294,0.6060606060606061,0.5882352941176471,0.6470588235294118
brainiac,random_forest,0,0.7750865051903114,0.7058823529411764,0.6666666666666667,0.5882352941176471,0.8235294117647058
brainiac,random_forest,1,0.7041522491349481,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
brainiac,random_forest,2,0.7785467128027681,0.7352941176470589,0.6896551724137931,0.5882352941176471,0.8823529411764706
brainiac,random_forest,3,0.7197231833910034,0.6764705882352942,0.6206896551724139,0.5294117647058824,0.8235294117647058
brainiac,random_forest,4,0.6851211072664359,0.6176470588235294,0.48,0.35294117647058826,0.8823529411764706
brainiac,xgboost,0,0.8166089965397922,0.7352941176470589,0.7096774193548386,0.6470588235294118,0.8235294117647058
brainiac,xgboost,1,0.7750865051903114,0.6764705882352942,0.6857142857142857,0.7058823529411765,0.6470588235294118
brainiac,xgboost,2,0.7923875432525952,0.6176470588235294,0.5517241379310345,0.47058823529411764,0.7647058823529411
brainiac,xgboost,3,0.7370242214532872,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
brainiac,xgboost,4,0.6608996539792388,0.6470588235294117,0.5714285714285714,0.47058823529411764,0.8235294117647058
brainiac,lightgbm,0,0.8131487889273357,0.7058823529411764,0.6875,0.6470588235294118,0.7647058823529411
brainiac,lightgbm,1,0.7612456747404844,0.7058823529411764,0.7222222222222222,0.7647058823529411,0.6470588235294118
brainiac,lightgbm,2,0.7785467128027682,0.6764705882352942,0.6206896551724139,0.5294117647058824,0.8235294117647058
brainiac,lightgbm,3,0.726643598615917,0.6176470588235294,0.6060606060606061,0.5882352941176471,0.6470588235294118
brainiac,lightgbm,4,0.560553633217993,0.6470588235294117,0.5384615384615384,0.4117647058823529,0.8823529411764706
