method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
radiomics,logreg,0,0.7474048442906575,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
radiomics,logreg,1,0.7993079584775087,0.7058823529411764,0.6875,0.6470588235294118,0.7647058823529411
radiomics,logreg,2,0.7785467128027681,0.7058823529411764,0.7222222222222222,0.7647058823529411,0.6470588235294118
radiomics,logreg,3,0.8512110726643599,0.7647058823529411,0.7500000000000001,0.7058823529411765,0.8235294117647058
radiomics,logreg,4,0.7785467128027681,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
radiomics,svm_linear,0,0.7577854671280277,0.7058823529411764,0.6875,0.6470588235294118,0.7647058823529411
radiomics,svm_linear,1,0.7958477508650519,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
radiomics,svm_linear,2,0.7474048442906576,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
radiomics,svm_linear,3,0.7854671280276817,0.7352941176470589,0.6666666666666667,0.5294117647058824,0.9411764705882353
radiomics,svm_linear,4,0.7889273356401385,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
radiomics,svm_rbf,0,0.7474048442906575,0.7058823529411764,0.6666666666666667,0.5882352941176471,0.8235294117647058
radiomics,svm_rbf,1,0.7716262975778546,0.7058823529411764,0.6875,0.6470588235294118,0.7647058823529411
radiomics,svm_rbf,2,0.7439446366782008,0.6470588235294117,0.6842105263157895,0.7647058823529411,0.5294117647058824
radiomics,svm_rbf,3,0.6678200692041523,0.6764705882352942,0.5925925925925927,0.47058823529411764,0.8823529411764706
radiomics,svm_rbf,4,0.759515570934256,0.6764705882352942,0.6451612903225806,0.5882352941176471,0.7647058823529411
radiomics,random_forest,0,0.7439446366782008,0.6764705882352942,0.6451612903225806,0.5882352941176471,0.7647058823529411
radiomics,random_forest,1,0.7785467128027681,0.7352941176470589,0.7096774193548386,0.6470588235294118,0.8235294117647058
radiomics,random_forest,2,0.7560553633217993,0.7058823529411764,0.7222222222222222,0.7647058823529411,0.6470588235294118
radiomics,random_forest,3,0.6816608996539792,0.7058823529411764,0.6428571428571428,0.5294117647058824,0.8823529411764706
radiomics,random_forest,4,0.7785467128027681,0.6470588235294117,0.5714285714285714,0.47058823529411764,0.8235294117647058
radiomics,xgboost,0,0.7647058823529411,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
radiomics,xgboost,1,0.7681660899653979,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
radiomics,xgboost,2,0.7370242214532873,0.7058823529411764,0.7222222222222222,0.7647058823529411,0.6470588235294118
radiomics,xgboost,3,0.7474048442906573,0.7647058823529411,0.7142857142857143,0.5882352941176471,0.9411764705882353
radiomics,xgboost,4,0.7577854671280277,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
radiomics,lightgbm,0,0.8027681660899655,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
radiomics,lightgbm,1,0.7923875432525952,0.6764705882352942,0.6451612903225806,0.5882352941176471,0.7647058823529411
radiomics,lightgbm,2,0.7612456747404844,0.6176470588235294,0.6486486486486486,0.7058823529411765,0.5294117647058824
radiomics,lightgbm,3,0.7370242214532872,0.7352941176470589,0.6896551724137931,0.5882352941176471,0.8823529411764706
radiomics,lightgbm,4,0.7439446366782008,0.6470588235294118,0.625,0.5882352941176471,0.7058823529411765
