method,classifier,is_best_for_method,auc_mean,auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
brainiac,svm_linear,True,0.8041522491349482,0.07638364219053223,0.7176470588235295,0.08473447229934078,0.7118154924733873,0.08493746019322483,0.7058823529411764,0.13795340470068912,0.7294117647058823,0.1887859592456613
brainiac,logreg,False,0.7993079584775085,0.07074411176560852,0.723529411764706,0.08969382754104059,0.7024159161872634,0.1002405663242707,0.6588235294117647,0.12055236195246587,0.788235294117647,0.13542193450848627
brainiac,xgboost,False,0.756401384083045,0.06075596449055766,0.6647058823529411,0.04460514967089149,0.6331206475916284,0.06937688171950633,0.5882352941176471,0.11004874666982185,0.7411764705882353,0.08921029934178291
brainiac,svm_rbf,False,0.740484429065744,0.053381483116060606,0.6705882352941176,0.038348249442368504,0.6540552584670232,0.03921682565999959,0.623529411764706,0.05261336417646565,0.7176470588235294,0.06443794794178422
brainiac,random_forest,False,0.7325259515570934,0.04226555428263659,0.6823529411764706,0.043624696982915656,0.624735632183908,0.08469908966881128,0.5411764705882354,0.11314931800983147,0.8235294117647058,0.07204381596421108
brainiac,lightgbm,False,0.7280276816608996,0.09867963703538965,0.6705882352941176,0.0383482494423685,0.6349868043833561,0.07198248784537475,0.588235294117647,0.1315334104411641,0.7529411764705882,0.10522672835293125
radiomics,logreg,True,0.7910034602076126,0.038422329806204344,0.6941176470588235,0.04921529567847499,0.6907679738562091,0.045632943032078196,0.6823529411764706,0.05261336417646561,0.7058823529411764,0.08318903308077025
radiomics,svm_linear,False,0.7750865051903115,0.021189357636532645,0.6882352941176471,0.03353457132644523,0.6669117647058824,0.014302053393034456,0.6235294117647059,0.05261336417646565,0.7529411764705882,0.11314931800983137
radiomics,lightgbm,False,0.7674740484429067,0.029094564719138998,0.6705882352941177,0.04362469698291567,0.6550263556103378,0.024363027752902146,0.623529411764706,0.05261336417646565,0.7176470588235294,0.12752637287458116
radiomics,xgboost,False,0.7550173010380623,0.012807443268734753,0.7058823529411764,0.03602190798210552,0.6951447245564893,0.02663111241260811,0.6705882352941177,0.06706914265289045,0.7411764705882353,0.11466816876245832
radiomics,random_forest,False,0.7477508650519031,0.03983749511965823,0.6941176470588235,0.03353457132644526,0.6582693292370712,0.060587617630739214,0.6,0.11314931800983145,0.7882352941176471,0.08921029934178293
radiomics,svm_rbf,False,0.7380622837370241,0.040751198672490746,0.6823529411764706,0.024607647839237506,0.6552262151795258,0.038848567540032825,0.611764705882353,0.10685824779167617,0.7529411764705882,0.13413828530578092
