method,classifier,direction,intra_domain_auc,intra_domain_best_classifier,cross_dataset_auc,generalization_gap
brainiac,logreg,oasis1_to_oasis2,0.7074074074074075,logreg,0.6387330316742081,0.06867437573319934
brainiac,svm_linear,oasis1_to_oasis2,,logreg,0.6354751131221719,
brainiac,svm_rbf,oasis1_to_oasis2,,logreg,0.5390045248868779,
brainiac,random_forest,oasis1_to_oasis2,,logreg,0.579366515837104,
brainiac,xgboost,oasis1_to_oasis2,,logreg,0.5867873303167421,
brainiac,lightgbm,oasis1_to_oasis2,,logreg,0.6026244343891403,
brainiac,logreg,oasis2_to_oasis1,0.7095022624434388,logreg,0.487037037037037,0.22246522540640185
brainiac,svm_linear,oasis2_to_oasis1,,logreg,0.46859259259259256,
brainiac,svm_rbf,oasis2_to_oasis1,,logreg,0.4895555555555556,
brainiac,random_forest,oasis2_to_oasis1,,logreg,0.541037037037037,
brainiac,xgboost,oasis2_to_oasis1,,logreg,0.5002962962962962,
brainiac,lightgbm,oasis2_to_oasis1,,logreg,0.5686666666666667,
radiomics,logreg,oasis1_to_oasis2,,svm_rbf,0.632579185520362,
radiomics,svm_linear,oasis1_to_oasis2,,svm_rbf,0.6345701357466064,
radiomics,svm_rbf,oasis1_to_oasis2,0.7338888888888888,svm_rbf,0.616289592760181,0.11759929612870779
radiomics,random_forest,oasis1_to_oasis2,,svm_rbf,0.6743891402714932,
radiomics,xgboost,oasis1_to_oasis2,,svm_rbf,0.6666063348416289,
radiomics,lightgbm,oasis1_to_oasis2,,svm_rbf,0.6333031674208145,
radiomics,logreg,oasis2_to_oasis1,,svm_rbf,0.7652592592592593,
radiomics,svm_linear,oasis2_to_oasis1,,svm_rbf,0.7703703703703703,
radiomics,svm_rbf,oasis2_to_oasis1,0.6398190045248869,svm_rbf,0.7169629629629629,-0.07714395843807598
radiomics,random_forest,oasis2_to_oasis1,,svm_rbf,0.7645925925925925,
radiomics,xgboost,oasis2_to_oasis1,,svm_rbf,0.7462962962962962,
radiomics,lightgbm,oasis2_to_oasis1,,svm_rbf,0.745925925925926,
volumetry,logreg,oasis1_to_oasis2,0.7844444444444444,logreg,0.6495927601809954,0.13485168426344896
volumetry,svm_linear,oasis1_to_oasis2,,logreg,0.6463348416289593,
volumetry,svm_rbf,oasis1_to_oasis2,,logreg,0.6421719457013575,
volumetry,random_forest,oasis1_to_oasis2,,logreg,0.7838914027149322,
volumetry,xgboost,oasis1_to_oasis2,,logreg,0.6804524886877829,
volumetry,lightgbm,oasis1_to_oasis2,,logreg,0.6484162895927602,
volumetry,logreg,oasis2_to_oasis1,0.632579185520362,logreg,0.7844444444444445,-0.15186525892408254
volumetry,svm_linear,oasis2_to_oasis1,,logreg,0.7822222222222223,
volumetry,svm_rbf,oasis2_to_oasis1,,logreg,0.2725925925925926,
volumetry,random_forest,oasis2_to_oasis1,,logreg,0.8162592592592592,
volumetry,xgboost,oasis2_to_oasis1,,logreg,0.8008148148148148,
volumetry,lightgbm,oasis2_to_oasis1,,logreg,0.8098888888888889,
