method,classifier,direction,n_train,n_test,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac,logreg,oasis1_to_oasis2,235,150,0.6387330316742081,0.5868778280542987,0.6387434554973822,0.9384615384615385,0.23529411764705882
brainiac,svm_linear,oasis1_to_oasis2,235,150,0.6354751131221719,0.6248868778280543,0.6473988439306357,0.8615384615384616,0.38823529411764707
brainiac,svm_rbf,oasis1_to_oasis2,235,150,0.5390045248868779,0.5,0.6046511627906976,1.0,0.0
brainiac,random_forest,oasis1_to_oasis2,235,150,0.579366515837104,0.5321266968325792,0.606060606060606,0.9230769230769231,0.1411764705882353
brainiac,xgboost,oasis1_to_oasis2,235,150,0.5867873303167421,0.5153846153846153,0.5222929936305732,0.6307692307692307,0.4
brainiac,lightgbm,oasis1_to_oasis2,235,150,0.6026244343891403,0.5339366515837104,0.6099999999999999,0.9384615384615385,0.12941176470588237
brainiac,logreg,oasis2_to_oasis1,150,235,0.487037037037037,0.49833333333333335,0.5830721003134796,0.93,0.06666666666666667
brainiac,svm_linear,oasis2_to_oasis1,150,235,0.46859259259259256,0.5005555555555555,0.576051779935275,0.89,0.1111111111111111
brainiac,svm_rbf,oasis2_to_oasis1,150,235,0.4895555555555556,0.505,0.019801980198019802,0.01,1.0
brainiac,random_forest,oasis2_to_oasis1,150,235,0.541037037037037,0.5253703703703704,0.18487394957983191,0.11,0.9407407407407408
brainiac,xgboost,oasis2_to_oasis1,150,235,0.5002962962962962,0.4924074074074074,0.48305084745762716,0.57,0.4148148148148148
brainiac,lightgbm,oasis2_to_oasis1,150,235,0.5686666666666667,0.51,0.0392156862745098,0.02,1.0
radiomics,logreg,oasis1_to_oasis2,235,150,0.632579185520362,0.6375565610859728,0.6369426751592356,0.7692307692307693,0.5058823529411764
radiomics,svm_linear,oasis1_to_oasis2,235,150,0.6345701357466064,0.6122171945701358,0.6163522012578616,0.7538461538461538,0.47058823529411764
radiomics,svm_rbf,oasis1_to_oasis2,235,150,0.616289592760181,0.5248868778280543,0.46153846153846156,0.46153846153846156,0.5882352941176471
radiomics,random_forest,oasis1_to_oasis2,235,150,0.6743891402714932,0.5990950226244344,0.5921052631578947,0.6923076923076923,0.5058823529411764
radiomics,xgboost,oasis1_to_oasis2,235,150,0.6666063348416289,0.611764705882353,0.6265060240963856,0.8,0.4235294117647059
radiomics,lightgbm,oasis1_to_oasis2,235,150,0.6333031674208145,0.6122171945701358,0.6163522012578616,0.7538461538461538,0.47058823529411764
radiomics,logreg,oasis2_to_oasis1,150,235,0.7652592592592593,0.5262962962962963,0.11214953271028037,0.06,0.9925925925925926
radiomics,svm_linear,oasis2_to_oasis1,150,235,0.7703703703703703,0.5377777777777778,0.20338983050847456,0.12,0.9555555555555556
radiomics,svm_rbf,oasis2_to_oasis1,150,235,0.7169629629629629,0.6066666666666667,0.40875912408759124,0.28,0.9333333333333333
radiomics,random_forest,oasis2_to_oasis1,150,235,0.7645925925925925,0.6742592592592592,0.5584415584415584,0.43,0.9185185185185185
radiomics,xgboost,oasis2_to_oasis1,150,235,0.7462962962962962,0.617037037037037,0.4705882352941176,0.36,0.8740740740740741
radiomics,lightgbm,oasis2_to_oasis1,150,235,0.745925925925926,0.5944444444444444,0.41379310344827586,0.3,0.8888888888888888
volumetry,logreg,oasis1_to_oasis2,235,150,0.6495927601809954,0.6076923076923078,0.5755395683453237,0.6153846153846154,0.6
volumetry,svm_linear,oasis1_to_oasis2,235,150,0.6463348416289593,0.6230769230769231,0.5957446808510639,0.6461538461538462,0.6
volumetry,svm_rbf,oasis1_to_oasis2,235,150,0.6421719457013575,0.6076923076923078,0.5755395683453237,0.6153846153846154,0.6
volumetry,random_forest,oasis1_to_oasis2,235,150,0.7838914027149322,0.7529411764705882,0.7323943661971831,0.8,0.7058823529411765
volumetry,xgboost,oasis1_to_oasis2,235,150,0.6804524886877829,0.6244343891402715,0.6133333333333333,0.7076923076923077,0.5411764705882353
volumetry,lightgbm,oasis1_to_oasis2,235,150,0.6484162895927602,0.5904977375565611,0.5481481481481482,0.5692307692307692,0.611764705882353
volumetry,logreg,oasis2_to_oasis1,150,235,0.7844444444444445,0.6233333333333333,0.48717948717948717,0.38,0.8666666666666667
volumetry,svm_linear,oasis2_to_oasis1,150,235,0.7822222222222223,0.5701851851851851,0.2809917355371901,0.17,0.9703703703703703
volumetry,svm_rbf,oasis2_to_oasis1,150,235,0.2725925925925926,0.5,0.0,0.0,1.0
volumetry,random_forest,oasis2_to_oasis1,150,235,0.8162592592592592,0.7296296296296296,0.6703910614525139,0.6,0.8592592592592593
volumetry,xgboost,oasis2_to_oasis1,150,235,0.8008148148148148,0.7148148148148148,0.6557377049180328,0.6,0.8296296296296296
volumetry,lightgbm,oasis2_to_oasis1,150,235,0.8098888888888889,0.7348148148148148,0.6844919786096256,0.64,0.8296296296296296
