method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
fusion_early,logreg_l2,0,0.7203703703703703,0.6583333333333333,0.6190476190476191,0.65,0.6666666666666666
fusion_early,logreg_l2,1,0.6574074074074074,0.6898148148148149,0.6666666666666665,0.75,0.6296296296296297
fusion_early,logreg_l2,2,0.7592592592592593,0.6824074074074074,0.6111111111111112,0.55,0.8148148148148148
fusion_early,logreg_l2,3,0.7796296296296297,0.7453703703703703,0.7142857142857143,0.75,0.7407407407407407
fusion_early,logreg_l2,4,0.812962962962963,0.7379629629629629,0.6666666666666667,0.55,0.9259259259259259
fusion_early,logreg_l1,0,0.7037037037037037,0.6648148148148147,0.6363636363636365,0.7,0.6296296296296297
fusion_early,logreg_l1,1,0.6907407407407408,0.7027777777777777,0.6938775510204082,0.85,0.5555555555555556
fusion_early,logreg_l1,2,0.7351851851851852,0.6703703703703703,0.6153846153846154,0.6,0.7407407407407407
fusion_early,logreg_l1,3,0.7962962962962963,0.7768518518518519,0.7555555555555556,0.85,0.7037037037037037
fusion_early,logreg_l1,4,0.8018518518518518,0.700925925925926,0.6285714285714286,0.55,0.8518518518518519
fusion_early,svm_linear,0,0.7148148148148148,0.6018518518518519,0.5263157894736842,0.5,0.7037037037037037
fusion_early,svm_linear,1,0.6592592592592593,0.6398148148148148,0.6046511627906976,0.65,0.6296296296296297
fusion_early,svm_linear,2,0.7925925925925926,0.7444444444444445,0.6857142857142857,0.6,0.8888888888888888
fusion_early,svm_linear,3,0.6259259259259259,0.5768518518518518,0.48648648648648646,0.45,0.7037037037037037
fusion_early,svm_linear,4,0.812962962962963,0.637962962962963,0.48275862068965514,0.35,0.9259259259259259
fusion_early,pca_logreg,0,0.7203703703703703,0.6148148148148148,0.5714285714285713,0.6,0.6296296296296297
fusion_early,pca_logreg,1,0.6518518518518519,0.6398148148148148,0.6046511627906976,0.65,0.6296296296296297
fusion_early,pca_logreg,2,0.7537037037037037,0.6509259259259259,0.5454545454545455,0.45,0.8518518518518519
fusion_early,pca_logreg,3,0.8018518518518518,0.7953703703703703,0.7727272727272727,0.85,0.7407407407407407
fusion_early,pca_logreg,4,0.8111111111111111,0.637962962962963,0.48275862068965514,0.35,0.9259259259259259
