method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
fusion_late,mean,0,0.7685185185185186,0.7138888888888889,0.6666666666666667,0.65,0.7777777777777778
fusion_late,mean,1,0.7648148148148148,0.6962962962962963,0.6808510638297872,0.8,0.5925925925925926
fusion_late,mean,2,0.8037037037037037,0.6444444444444444,0.5161290322580645,0.4,0.8888888888888888
fusion_late,mean,3,0.7185185185185186,0.5768518518518518,0.48648648648648646,0.45,0.7037037037037037
fusion_late,mean,4,0.8203703703703704,0.6194444444444445,0.4666666666666667,0.35,0.8888888888888888
fusion_late,meta_logreg,0,0.7685185185185186,0.6194444444444445,0.4666666666666667,0.35,0.8888888888888888
fusion_late,meta_logreg,1,0.7648148148148148,0.7212962962962963,0.7083333333333333,0.85,0.5925925925925926
fusion_late,meta_logreg,2,0.8092592592592592,0.46296296296296297,0.0,0.0,0.9259259259259259
fusion_late,meta_logreg,3,0.7148148148148148,0.5388888888888889,0.37499999999999994,0.3,0.7777777777777778
fusion_late,meta_logreg,4,0.8166666666666667,0.5564814814814815,0.24999999999999997,0.15,0.9629629629629629
