method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
hippocampus,logreg,0,0.46366782006920415,0.47058823529411764,0.43749999999999994,0.4117647058823529,0.5294117647058824
hippocampus,logreg,1,0.5190311418685122,0.5882352941176471,0.6111111111111113,0.6470588235294118,0.5294117647058824
hippocampus,logreg,2,0.5916955017301038,0.5882352941176471,0.6111111111111113,0.6470588235294118,0.5294117647058824
hippocampus,logreg,3,0.5224913494809689,0.47058823529411764,0.43749999999999994,0.4117647058823529,0.5294117647058824
hippocampus,logreg,4,0.7612456747404844,0.7058823529411764,0.7222222222222222,0.7647058823529411,0.6470588235294118
hippocampus,svm_linear,0,0.5363321799307958,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
hippocampus,svm_linear,1,0.47231833910034604,0.4411764705882353,0.42424242424242425,0.4117647058823529,0.47058823529411764
hippocampus,svm_linear,2,0.4204152249134948,0.38235294117647056,0.3225806451612903,0.29411764705882354,0.47058823529411764
hippocampus,svm_linear,3,0.4826989619377163,0.5294117647058824,0.5555555555555555,0.5882352941176471,0.47058823529411764
hippocampus,svm_linear,4,0.26297577854671284,0.411764705882353,0.5454545454545455,0.7058823529411765,0.11764705882352941
hippocampus,svm_rbf,0,0.5017301038062283,0.5588235294117647,0.6341463414634146,0.7647058823529411,0.35294117647058826
hippocampus,svm_rbf,1,0.5397923875432526,0.4411764705882353,0.3870967741935484,0.35294117647058826,0.5294117647058824
hippocampus,svm_rbf,2,0.4013840830449827,0.4411764705882353,0.42424242424242425,0.4117647058823529,0.47058823529411764
hippocampus,svm_rbf,3,0.5,0.5,0.6666666666666666,1.0,0.0
hippocampus,svm_rbf,4,0.40657439446366783,0.4411764705882353,0.3448275862068966,0.29411764705882354,0.5882352941176471
hippocampus,random_forest,0,0.5224913494809689,0.4411764705882353,0.45714285714285713,0.47058823529411764,0.4117647058823529
hippocampus,random_forest,1,0.5813148788927336,0.5588235294117647,0.5161290322580646,0.47058823529411764,0.6470588235294118
hippocampus,random_forest,2,0.5743944636678201,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
hippocampus,random_forest,3,0.5155709342560554,0.47058823529411764,0.5263157894736842,0.5882352941176471,0.35294117647058826
hippocampus,random_forest,4,0.8062283737024222,0.7647058823529411,0.7647058823529412,0.7647058823529411,0.7647058823529411
hippocampus,xgboost,0,0.532871972318339,0.47058823529411764,0.5,0.5294117647058824,0.4117647058823529
hippocampus,xgboost,1,0.5692041522491349,0.5294117647058824,0.4666666666666667,0.4117647058823529,0.6470588235294118
hippocampus,xgboost,2,0.4896193771626297,0.5,0.48484848484848486,0.47058823529411764,0.5294117647058824
hippocampus,xgboost,3,0.3702422145328719,0.4411764705882353,0.45714285714285713,0.47058823529411764,0.4117647058823529
hippocampus,xgboost,4,0.7197231833910034,0.6764705882352942,0.6666666666666667,0.6470588235294118,0.7058823529411765
hippocampus,lightgbm,0,0.5086505190311419,0.5588235294117647,0.5945945945945946,0.6470588235294118,0.47058823529411764
hippocampus,lightgbm,1,0.6141868512110726,0.5294117647058824,0.5,0.47058823529411764,0.5882352941176471
hippocampus,lightgbm,2,0.5640138408304498,0.6176470588235294,0.5517241379310345,0.47058823529411764,0.7647058823529411
hippocampus,lightgbm,3,0.46712802768166095,0.5882352941176471,0.6315789473684211,0.7058823529411765,0.47058823529411764
hippocampus,lightgbm,4,0.6782006920415224,0.7647058823529411,0.7647058823529412,0.7647058823529411,0.7647058823529411
