method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac_hippo,logreg,0,0.7058823529411764,0.6402714932126696,0.6206896551724138,0.6923076923076923,0.5882352941176471
brainiac_hippo,logreg,1,0.5882352941176471,0.5927601809954751,0.5384615384615384,0.5384615384615384,0.6470588235294118
brainiac_hippo,logreg,2,0.33484162895927605,0.39140271493212675,0.10526315789473684,0.07692307692307693,0.7058823529411765
brainiac_hippo,logreg,3,0.5656108597285068,0.6018099547511313,0.5714285714285715,0.6153846153846154,0.5882352941176471
brainiac_hippo,logreg,4,0.5429864253393666,0.5361990950226244,0.380952380952381,0.3076923076923077,0.7647058823529411
brainiac_hippo,svm_linear,0,0.7239819004524887,0.6244343891402715,0.4444444444444444,0.3076923076923077,0.9411764705882353
brainiac_hippo,svm_linear,1,0.6153846153846154,0.47058823529411764,0.0,0.0,0.9411764705882353
brainiac_hippo,svm_linear,2,0.3981900452488688,0.45022624434389136,0.11764705882352941,0.07692307692307693,0.8235294117647058
brainiac_hippo,svm_linear,3,0.5226244343891403,0.5859728506787331,0.3529411764705882,0.23076923076923078,0.9411764705882353
brainiac_hippo,svm_linear,4,0.36199095022624433,0.5,0.0,0.0,1.0
brainiac_hippo,svm_rbf,0,0.4841628959276018,0.45022624434389136,0.11764705882352941,0.07692307692307693,0.8235294117647058
brainiac_hippo,svm_rbf,1,0.36199095022624433,0.5,0.0,0.0,1.0
brainiac_hippo,svm_rbf,2,0.39366515837104077,0.45022624434389136,0.11764705882352941,0.07692307692307693,0.8235294117647058
brainiac_hippo,svm_rbf,3,0.4343891402714932,0.48868778280542985,0.2222222222222222,0.15384615384615385,0.8235294117647058
brainiac_hippo,svm_rbf,4,0.46153846153846156,0.5,0.0,0.0,1.0
brainiac_hippo,random_forest,0,0.6153846153846154,0.583710407239819,0.4999999999999999,0.46153846153846156,0.7058823529411765
brainiac_hippo,random_forest,1,0.5678733031674208,0.5067873303167421,0.3636363636363637,0.3076923076923077,0.7058823529411765
brainiac_hippo,random_forest,2,0.32579185520361986,0.3619909502262444,0.1,0.07692307692307693,0.6470588235294118
brainiac_hippo,random_forest,3,0.5542986425339367,0.47737556561085975,0.34782608695652173,0.3076923076923077,0.6470588235294118
brainiac_hippo,random_forest,4,0.5384615384615384,0.48868778280542985,0.2222222222222222,0.15384615384615385,0.8235294117647058
brainiac_hippo,xgboost,0,0.5972850678733033,0.6018099547511313,0.5714285714285715,0.6153846153846154,0.5882352941176471
brainiac_hippo,xgboost,1,0.42533936651583715,0.47737556561085975,0.34782608695652173,0.3076923076923077,0.6470588235294118
brainiac_hippo,xgboost,2,0.3212669683257919,0.3619909502262444,0.1,0.07692307692307693,0.6470588235294118
brainiac_hippo,xgboost,3,0.502262443438914,0.5067873303167421,0.3636363636363637,0.3076923076923077,0.7058823529411765
brainiac_hippo,xgboost,4,0.5520361990950227,0.583710407239819,0.4999999999999999,0.46153846153846156,0.7058823529411765
brainiac_hippo,lightgbm,0,0.5972850678733032,0.6990950226244343,0.6666666666666666,0.6923076923076923,0.7058823529411765
brainiac_hippo,lightgbm,1,0.48416289592760187,0.5158371040723982,0.41666666666666663,0.38461538461538464,0.6470588235294118
brainiac_hippo,lightgbm,2,0.3800904977375566,0.37104072398190047,0.18181818181818185,0.15384615384615385,0.5882352941176471
brainiac_hippo,lightgbm,3,0.497737556561086,0.47737556561085975,0.34782608695652173,0.3076923076923077,0.6470588235294118
brainiac_hippo,lightgbm,4,0.6244343891402715,0.5542986425339367,0.48000000000000004,0.46153846153846156,0.6470588235294118
