method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
hippocampus,logreg,0,0.746606334841629,0.6809954751131222,0.608695652173913,0.5384615384615384,0.8235294117647058
hippocampus,logreg,1,0.5791855203619909,0.5384615384615384,0.14285714285714288,0.07692307692307693,1.0
hippocampus,logreg,2,0.7375565610859729,0.6334841628959276,0.5,0.38461538461538464,0.8823529411764706
hippocampus,logreg,3,0.841628959276018,0.748868778280543,0.6956521739130435,0.6153846153846154,0.8823529411764706
hippocampus,logreg,4,0.6742081447963801,0.4683257918552036,0.2857142857142857,0.23076923076923078,0.7058823529411765
hippocampus,svm_linear,0,0.7420814479638009,0.6515837104072397,0.5833333333333334,0.5384615384615384,0.7647058823529411
hippocampus,svm_linear,1,0.5837104072398189,0.5859728506787331,0.3529411764705882,0.23076923076923078,0.9411764705882353
hippocampus,svm_linear,2,0.7375565610859729,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
hippocampus,svm_linear,3,0.8461538461538461,0.5,0.0,0.0,1.0
hippocampus,svm_linear,4,0.6651583710407241,0.583710407239819,0.4999999999999999,0.46153846153846156,0.7058823529411765
hippocampus,svm_rbf,0,0.7239819004524887,0.6515837104072397,0.5833333333333334,0.5384615384615384,0.7647058823529411
hippocampus,svm_rbf,1,0.5837104072398189,0.5859728506787331,0.3529411764705882,0.23076923076923078,0.9411764705882353
hippocampus,svm_rbf,2,0.6968325791855204,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
hippocampus,svm_rbf,3,0.14479638009049775,0.5,0.0,0.0,1.0
hippocampus,svm_rbf,4,0.5565610859728507,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
hippocampus,random_forest,0,0.8144796380090498,0.6809954751131222,0.608695652173913,0.5384615384615384,0.8235294117647058
hippocampus,random_forest,1,0.5656108597285068,0.5067873303167421,0.3636363636363637,0.3076923076923077,0.7058823529411765
hippocampus,random_forest,2,0.7013574660633484,0.5723981900452488,0.5517241379310345,0.6153846153846154,0.5294117647058824
hippocampus,random_forest,3,0.755656108597285,0.6628959276018099,0.5263157894736842,0.38461538461538464,0.9411764705882353
hippocampus,random_forest,4,0.6470588235294118,0.583710407239819,0.4999999999999999,0.46153846153846156,0.7058823529411765
hippocampus,xgboost,0,0.753393665158371,0.6425339366515836,0.5454545454545455,0.46153846153846156,0.8235294117647058
hippocampus,xgboost,1,0.5113122171945701,0.5565610859728507,0.33333333333333337,0.23076923076923078,0.8823529411764706
hippocampus,xgboost,2,0.6787330316742082,0.6696832579185521,0.6428571428571429,0.6923076923076923,0.6470588235294118
hippocampus,xgboost,3,0.7873303167420814,0.6719457013574661,0.5714285714285714,0.46153846153846156,0.8823529411764706
hippocampus,xgboost,4,0.6900452488687783,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
hippocampus,lightgbm,0,0.7126696832579186,0.6900452488687783,0.64,0.6153846153846154,0.7647058823529411
hippocampus,lightgbm,1,0.43891402714932126,0.47737556561085975,0.34782608695652173,0.3076923076923077,0.6470588235294118
hippocampus,lightgbm,2,0.7285067873303168,0.660633484162896,0.6153846153846154,0.6153846153846154,0.7058823529411765
hippocampus,lightgbm,3,0.830316742081448,0.7669683257918551,0.7407407407407408,0.7692307692307693,0.7647058823529411
hippocampus,lightgbm,4,0.7285067873303168,0.5565610859728507,0.33333333333333337,0.23076923076923078,0.8823529411764706
