method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac,logreg,0,0.7314814814814814,0.6888888888888889,0.631578947368421,0.6,0.7777777777777778
brainiac,logreg,1,0.6351851851851852,0.6092592592592592,0.5957446808510639,0.7,0.5185185185185185
brainiac,logreg,2,0.6685185185185185,0.5453703703703703,0.4117647058823529,0.35,0.7407407407407407
brainiac,logreg,3,0.7851851851851852,0.7018518518518518,0.6666666666666666,0.7,0.7037037037037037
brainiac,logreg,4,0.7166666666666667,0.5888888888888889,0.47058823529411764,0.4,0.7777777777777778
brainiac,svm_linear,0,0.7203703703703703,0.6009259259259259,0.45161290322580644,0.35,0.8518518518518519
brainiac,svm_linear,1,0.6037037037037036,0.5518518518518518,0.4444444444444445,0.4,0.7037037037037037
brainiac,svm_linear,2,0.6685185185185185,0.5638888888888889,0.4242424242424242,0.35,0.7777777777777778
brainiac,svm_linear,3,0.7648148148148148,0.6324074074074074,0.5294117647058824,0.45,0.8148148148148148
brainiac,svm_linear,4,0.7037037037037037,0.587962962962963,0.37037037037037035,0.25,0.9259259259259259
brainiac,svm_rbf,0,0.7185185185185186,0.48148148148148145,0.0,0.0,0.9629629629629629
brainiac,svm_rbf,1,0.6287037037037038,0.6462962962962963,0.6222222222222222,0.7,0.5925925925925926
brainiac,svm_rbf,2,0.588888888888889,0.4944444444444444,0.16000000000000003,0.1,0.8888888888888888
brainiac,svm_rbf,3,0.7518518518518519,0.5,0.0,0.0,1.0
brainiac,svm_rbf,4,0.7444444444444445,0.5,0.0,0.0,1.0
brainiac,random_forest,0,0.687037037037037,0.6324074074074074,0.5294117647058824,0.45,0.8148148148148148
brainiac,random_forest,1,0.5833333333333334,0.6592592592592592,0.6530612244897959,0.8,0.5185185185185185
brainiac,random_forest,2,0.6148148148148149,0.5638888888888889,0.4242424242424242,0.35,0.7777777777777778
brainiac,random_forest,3,0.7462962962962963,0.6592592592592592,0.6530612244897959,0.8,0.5185185185185185
brainiac,random_forest,4,0.7296296296296296,0.700925925925926,0.6285714285714286,0.55,0.8518518518518519
brainiac,xgboost,0,0.7444444444444444,0.700925925925926,0.6285714285714286,0.55,0.8518518518518519
brainiac,xgboost,1,0.6981481481481482,0.6898148148148149,0.6666666666666665,0.75,0.6296296296296297
brainiac,xgboost,2,0.6370370370370371,0.5944444444444444,0.41379310344827586,0.3,0.8888888888888888
brainiac,xgboost,3,0.6166666666666667,0.5527777777777778,0.5116279069767442,0.55,0.5555555555555556
brainiac,xgboost,4,0.7111111111111111,0.6203703703703703,0.5405405405405405,0.5,0.7407407407407407
brainiac,lightgbm,0,0.7296296296296296,0.6324074074074074,0.5294117647058824,0.45,0.8148148148148148
brainiac,lightgbm,1,0.6296296296296297,0.6527777777777778,0.6382978723404256,0.75,0.5555555555555556
brainiac,lightgbm,2,0.6370370370370371,0.5638888888888889,0.4242424242424242,0.35,0.7777777777777778
brainiac,lightgbm,3,0.662962962962963,0.5712962962962963,0.5238095238095238,0.55,0.5925925925925926
brainiac,lightgbm,4,0.7111111111111111,0.6388888888888888,0.5555555555555556,0.5,0.7777777777777778
