method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
radiomics,logreg,0,0.7777777777777777,0.6453703703703704,0.5789473684210527,0.55,0.7407407407407407
radiomics,logreg,1,0.687037037037037,0.6342592592592593,0.6250000000000001,0.75,0.5185185185185185
radiomics,logreg,2,0.5537037037037037,0.4833333333333333,0.34285714285714286,0.3,0.6666666666666666
radiomics,logreg,3,0.7388888888888889,0.6518518518518519,0.6,0.6,0.7037037037037037
radiomics,logreg,4,0.7777777777777778,0.687962962962963,0.5806451612903226,0.45,0.9259259259259259
radiomics,svm_linear,0,0.7666666666666666,0.6203703703703703,0.5405405405405405,0.5,0.7407407407407407
radiomics,svm_linear,1,0.7277777777777777,0.7212962962962963,0.7083333333333333,0.85,0.5925925925925926
radiomics,svm_linear,2,0.5555555555555556,0.5203703703703704,0.3636363636363637,0.3,0.7407407407407407
radiomics,svm_linear,3,0.7574074074074074,0.6583333333333333,0.6190476190476191,0.65,0.6666666666666666
radiomics,svm_linear,4,0.7629629629629631,0.5824074074074074,0.4375,0.35,0.8148148148148148
radiomics,svm_rbf,0,0.7833333333333333,0.6703703703703703,0.6153846153846154,0.6,0.7407407407407407
radiomics,svm_rbf,1,0.7092592592592593,0.6777777777777778,0.6666666666666666,0.8,0.5555555555555556
radiomics,svm_rbf,2,0.7166666666666667,0.6064814814814814,0.3846153846153846,0.25,0.9629629629629629
radiomics,svm_rbf,3,0.7,0.6518518518518519,0.6,0.6,0.7037037037037037
radiomics,svm_rbf,4,0.7601851851851853,0.6194444444444445,0.4666666666666667,0.35,0.8888888888888888
radiomics,random_forest,0,0.7407407407407407,0.6083333333333334,0.55,0.55,0.6666666666666666
radiomics,random_forest,1,0.6564814814814814,0.6287037037037037,0.6415094339622641,0.85,0.4074074074074074
radiomics,random_forest,2,0.6833333333333333,0.6203703703703703,0.5405405405405405,0.5,0.7407407407407407
radiomics,random_forest,3,0.7129629629629629,0.6518518518518519,0.6,0.6,0.7037037037037037
radiomics,random_forest,4,0.7481481481481481,0.6824074074074074,0.6111111111111112,0.55,0.8148148148148148
radiomics,xgboost,0,0.712962962962963,0.5583333333333333,0.4736842105263158,0.45,0.6666666666666666
radiomics,xgboost,1,0.6685185185185185,0.6157407407407407,0.6122448979591838,0.75,0.48148148148148145
radiomics,xgboost,2,0.7166666666666667,0.6203703703703703,0.5405405405405405,0.5,0.7407407407407407
radiomics,xgboost,3,0.7092592592592593,0.6953703703703704,0.65,0.65,0.7407407407407407
radiomics,xgboost,4,0.7333333333333334,0.6509259259259259,0.5454545454545455,0.45,0.8518518518518519
radiomics,lightgbm,0,0.7537037037037037,0.6324074074074074,0.5294117647058824,0.45,0.8148148148148148
radiomics,lightgbm,1,0.6962962962962963,0.7027777777777777,0.6938775510204082,0.85,0.5555555555555556
radiomics,lightgbm,2,0.6981481481481482,0.6574074074074074,0.5714285714285715,0.5,0.8148148148148148
radiomics,lightgbm,3,0.7546296296296297,0.6768518518518518,0.6341463414634146,0.65,0.7037037037037037
radiomics,lightgbm,4,0.7592592592592593,0.7379629629629629,0.6666666666666667,0.55,0.9259259259259259
