method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac,logreg,0,0.5656108597285068,0.5814479638009049,0.5806451612903226,0.6923076923076923,0.47058823529411764
brainiac,logreg,1,0.7013574660633484,0.6900452488687783,0.64,0.6153846153846154,0.7647058823529411
brainiac,logreg,2,0.6334841628959276,0.6221719457013575,0.5599999999999999,0.5384615384615384,0.7058823529411765
brainiac,logreg,3,0.8054298642533937,0.7579185520361991,0.7199999999999999,0.6923076923076923,0.8235294117647058
brainiac,logreg,4,0.8416289592760181,0.7873303167420814,0.7500000000000001,0.6923076923076923,0.8823529411764706
brainiac,svm_linear,0,0.5701357466063349,0.5814479638009049,0.5806451612903226,0.6923076923076923,0.47058823529411764
brainiac,svm_linear,1,0.6742081447963801,0.6809954751131222,0.608695652173913,0.5384615384615384,0.8235294117647058
brainiac,svm_linear,2,0.6153846153846154,0.497737556561086,0.3,0.23076923076923078,0.7647058823529411
brainiac,svm_linear,3,0.7828054298642534,0.6244343891402715,0.4444444444444444,0.3076923076923077,0.9411764705882353
brainiac,svm_linear,4,0.8190045248868778,0.7307692307692308,0.631578947368421,0.46153846153846156,1.0
brainiac,svm_rbf,0,0.6696832579185521,0.5,0.0,0.0,1.0
brainiac,svm_rbf,1,0.6085972850678734,0.5656108597285068,0.4,0.3076923076923077,0.8235294117647058
brainiac,svm_rbf,2,0.411764705882353,0.5,0.0,0.0,1.0
brainiac,svm_rbf,3,0.7647058823529412,0.5,0.0,0.0,1.0
brainiac,svm_rbf,4,0.5384615384615384,0.5769230769230769,0.2666666666666667,0.15384615384615385,1.0
brainiac,random_forest,0,0.504524886877828,0.5429864253393666,0.5333333333333333,0.6153846153846154,0.47058823529411764
brainiac,random_forest,1,0.5542986425339367,0.4592760180995475,0.21052631578947367,0.15384615384615385,0.7647058823529411
brainiac,random_forest,2,0.5248868778280543,0.38009049773755654,0.24999999999999994,0.23076923076923078,0.5294117647058824
brainiac,random_forest,3,0.669683257918552,0.583710407239819,0.4999999999999999,0.46153846153846156,0.7058823529411765
brainiac,random_forest,4,0.49321266968325794,0.4095022624434389,0.2608695652173913,0.23076923076923078,0.5882352941176471
brainiac,xgboost,0,0.5339366515837105,0.42760180995475117,0.3703703703703704,0.38461538461538464,0.47058823529411764
brainiac,xgboost,1,0.5429864253393665,0.5950226244343891,0.42105263157894735,0.3076923076923077,0.8823529411764706
brainiac,xgboost,2,0.5565610859728507,0.4479638009049774,0.33333333333333337,0.3076923076923077,0.5882352941176471
brainiac,xgboost,3,0.6380090497737557,0.5633484162895928,0.5185185185185186,0.5384615384615384,0.5882352941176471
brainiac,xgboost,4,0.5927601809954751,0.5452488687782806,0.4347826086956522,0.38461538461538464,0.7058823529411765
brainiac,lightgbm,0,0.5203619909502262,0.4660633484162896,0.42857142857142855,0.46153846153846156,0.47058823529411764
brainiac,lightgbm,1,0.6199095022624435,0.5180995475113122,0.23529411764705882,0.15384615384615385,0.8823529411764706
brainiac,lightgbm,2,0.502262443438914,0.41855203619909503,0.32,0.3076923076923077,0.5294117647058824
brainiac,lightgbm,3,0.7104072398190044,0.6402714932126696,0.6206896551724138,0.6923076923076923,0.5882352941176471
brainiac,lightgbm,4,0.5837104072398189,0.4864253393665159,0.4,0.38461538461538464,0.5882352941176471
