method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
radiomics,logreg,0,0.6153846153846154,0.6131221719457014,0.5217391304347826,0.46153846153846156,0.7647058823529411
radiomics,logreg,1,0.5565610859728507,0.47737556561085975,0.34782608695652173,0.3076923076923077,0.6470588235294118
radiomics,logreg,2,0.5203619909502262,0.43891402714932126,0.27272727272727276,0.23076923076923078,0.6470588235294118
radiomics,logreg,3,0.6380090497737556,0.6900452488687783,0.64,0.6153846153846154,0.7647058823529411
radiomics,logreg,4,0.7330316742081449,0.6515837104072397,0.5833333333333334,0.5384615384615384,0.7647058823529411
radiomics,svm_linear,0,0.6244343891402715,0.5565610859728507,0.33333333333333337,0.23076923076923078,0.8823529411764706
radiomics,svm_linear,1,0.5565610859728507,0.5,0.0,0.0,1.0
radiomics,svm_linear,2,0.579185520361991,0.5384615384615384,0.14285714285714288,0.07692307692307693,1.0
radiomics,svm_linear,3,0.3619909502262444,0.5,0.0,0.0,1.0
radiomics,svm_linear,4,0.27149321266968324,0.5,0.0,0.0,1.0
radiomics,svm_rbf,0,0.5429864253393666,0.49547511312217196,0.4444444444444445,0.46153846153846156,0.5294117647058824
radiomics,svm_rbf,1,0.5113122171945701,0.5475113122171946,0.25,0.15384615384615385,0.9411764705882353
radiomics,svm_rbf,2,0.6515837104072398,0.5950226244343891,0.42105263157894735,0.3076923076923077,0.8823529411764706
radiomics,svm_rbf,3,0.7692307692307692,0.5769230769230769,0.2666666666666667,0.15384615384615385,1.0
radiomics,svm_rbf,4,0.7239819004524888,0.6131221719457014,0.5217391304347826,0.46153846153846156,0.7647058823529411
radiomics,random_forest,0,0.44343891402714936,0.5248868778280543,0.46153846153846156,0.46153846153846156,0.5882352941176471
radiomics,random_forest,1,0.4796380090497737,0.4095022624434389,0.2608695652173913,0.23076923076923078,0.5882352941176471
radiomics,random_forest,2,0.5791855203619909,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
radiomics,random_forest,3,0.7918552036199095,0.6040723981900452,0.4761904761904762,0.38461538461538464,0.8235294117647058
radiomics,random_forest,4,0.6425339366515836,0.6221719457013575,0.5599999999999999,0.5384615384615384,0.7058823529411765
radiomics,xgboost,0,0.4434389140271493,0.4570135746606335,0.38461538461538464,0.38461538461538464,0.5294117647058824
radiomics,xgboost,1,0.5294117647058822,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
radiomics,xgboost,2,0.45248868778280543,0.45022624434389136,0.11764705882352941,0.07692307692307693,0.8235294117647058
radiomics,xgboost,3,0.7239819004524888,0.5746606334841629,0.4545454545454546,0.38461538461538464,0.7647058823529411
radiomics,xgboost,4,0.6380090497737556,0.583710407239819,0.4999999999999999,0.46153846153846156,0.7058823529411765
radiomics,lightgbm,0,0.4570135746606335,0.4864253393665159,0.4,0.38461538461538464,0.5882352941176471
radiomics,lightgbm,1,0.6063348416289593,0.5927601809954751,0.5384615384615384,0.5384615384615384,0.6470588235294118
radiomics,lightgbm,2,0.4796380090497738,0.4004524886877828,0.1904761904761905,0.15384615384615385,0.6470588235294118
radiomics,lightgbm,3,0.6334841628959276,0.4570135746606335,0.38461538461538464,0.38461538461538464,0.5294117647058824
radiomics,lightgbm,4,0.4660633484162896,0.5067873303167421,0.3636363636363637,0.3076923076923077,0.7058823529411765
