method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
volumetry,logreg,0,0.6968325791855203,0.7579185520361991,0.7199999999999999,0.6923076923076923,0.8235294117647058
volumetry,logreg,1,0.5113122171945701,0.43891402714932126,0.27272727272727276,0.23076923076923078,0.6470588235294118
volumetry,logreg,2,0.7285067873303168,0.6131221719457014,0.5217391304347826,0.46153846153846156,0.7647058823529411
volumetry,logreg,3,0.6334841628959276,0.5361990950226244,0.380952380952381,0.3076923076923077,0.7647058823529411
volumetry,logreg,4,0.5927601809954751,0.5271493212669683,0.3157894736842105,0.23076923076923078,0.8235294117647058
volumetry,svm_linear,0,0.31221719457013575,0.47058823529411764,0.0,0.0,0.9411764705882353
volumetry,svm_linear,1,0.4932126696832579,0.5090497737556561,0.13333333333333336,0.07692307692307693,0.9411764705882353
volumetry,svm_linear,2,0.3076923076923077,0.5,0.0,0.0,1.0
volumetry,svm_linear,3,0.35294117647058826,0.5,0.0,0.0,1.0
volumetry,svm_linear,4,0.5927601809954751,0.5271493212669683,0.3157894736842105,0.23076923076923078,0.8235294117647058
volumetry,svm_rbf,0,0.5113122171945701,0.5,0.0,0.0,1.0
volumetry,svm_rbf,1,0.33484162895927605,0.5,0.0,0.0,1.0
volumetry,svm_rbf,2,0.3167420814479638,0.5,0.0,0.0,1.0
volumetry,svm_rbf,3,0.36651583710407243,0.5,0.0,0.0,1.0
volumetry,svm_rbf,4,0.5565610859728507,0.5,0.0,0.0,1.0
volumetry,random_forest,0,0.47963800904977383,0.5452488687782806,0.4347826086956522,0.38461538461538464,0.7058823529411765
volumetry,random_forest,1,0.48190045248868785,0.4570135746606335,0.38461538461538464,0.38461538461538464,0.5294117647058824
volumetry,random_forest,2,0.6334841628959276,0.6787330316742082,0.6666666666666667,0.7692307692307693,0.5882352941176471
volumetry,random_forest,3,0.48868778280542985,0.5452488687782806,0.4347826086956522,0.38461538461538464,0.7058823529411765
volumetry,random_forest,4,0.5746606334841629,0.5158371040723982,0.41666666666666663,0.38461538461538464,0.6470588235294118
volumetry,xgboost,0,0.5067873303167421,0.4660633484162896,0.42857142857142855,0.46153846153846156,0.47058823529411764
volumetry,xgboost,1,0.4479638009049774,0.41855203619909503,0.32,0.3076923076923077,0.5294117647058824
volumetry,xgboost,2,0.49773755656108604,0.4570135746606335,0.38461538461538464,0.38461538461538464,0.5294117647058824
volumetry,xgboost,3,0.5497737556561085,0.4864253393665159,0.4,0.38461538461538464,0.5882352941176471
volumetry,xgboost,4,0.5067873303167421,0.47737556561085975,0.34782608695652173,0.3076923076923077,0.6470588235294118
volumetry,lightgbm,0,0.5203619909502263,0.5452488687782806,0.4347826086956522,0.38461538461538464,0.7058823529411765
volumetry,lightgbm,1,0.43891402714932126,0.4570135746606335,0.38461538461538464,0.38461538461538464,0.5294117647058824
volumetry,lightgbm,2,0.5158371040723981,0.504524886877828,0.4827586206896552,0.5384615384615384,0.47058823529411764
volumetry,lightgbm,3,0.4819004524886878,0.48868778280542985,0.2222222222222222,0.15384615384615385,0.8235294117647058
volumetry,lightgbm,4,0.581447963800905,0.6221719457013575,0.5599999999999999,0.5384615384615384,0.7058823529411765
