method,classifier,is_best_for_method,auc_mean,auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
brainiac,logreg,True,0.709502262443439,0.11533580726194358,0.6877828054298643,0.08724352707990427,0.6501290322580645,0.08353144678177685,0.6461538461538462,0.06880209161537813,0.7294117647058823,0.15893242454242704
brainiac,svm_linear,False,0.6923076923076923,0.10655123836485622,0.6230769230769231,0.08999577985824316,0.5130728410554202,0.13952000763189948,0.4461538461538462,0.18365132902020495,0.7999999999999999,0.20630209313823744
brainiac,svm_rbf,False,0.5986425339366516,0.13348032819094988,0.5285067873303166,0.03923888396140957,0.13333333333333336,0.1885618083164127,0.0923076923076923,0.13760418323075627,0.9647058823529411,0.07892004626469848
brainiac,lightgbm,False,0.5873303167420814,0.083581899649005,0.5058823529411764,0.08336728013277359,0.40091104027818025,0.14408689057340515,0.4,0.19911044777761205,0.611764705882353,0.158932424542427
brainiac,xgboost,False,0.5728506787330317,0.04275958246127584,0.5158371040723981,0.07379867163031716,0.4156114924993644,0.07036236263451347,0.3846153846153846,0.09421114395319914,0.6470588235294118,0.15563243006262298
brainiac,random_forest,False,0.5493212669683258,0.0711753343234016,0.4751131221719457,0.08658096433553152,0.3509458428680396,0.15289193978857296,0.3384615384615384,0.19307539073863286,0.611764705882353,0.1219790667842807
radiomics,svm_rbf,True,0.6398190045248869,0.11164648335414397,0.5656108597285068,0.0460894768947135,0.3807805746249683,0.11797222558343648,0.30769230769230765,0.15384615384615385,0.8235294117647058,0.1860163329510811
radiomics,logreg,False,0.6126696832579185,0.08186169428653488,0.57420814479638,0.11022767461494692,0.47312516469038207,0.15669679539229345,0.43076923076923074,0.15951108733329017,0.7176470588235293,0.0644379479417842
radiomics,random_forest,False,0.5873303167420814,0.1389663409093545,0.5470588235294118,0.08524639494542041,0.44262879149835677,0.11004361190224576,0.3999999999999999,0.1140953613399333,0.6941176470588235,0.10522672835293126
radiomics,xgboost,False,0.5574660633484163,0.12147446285545445,0.528054298642534,0.06809165480937786,0.38227067050596464,0.15357297726417898,0.3384615384615384,0.1499506822278302,0.7176470588235293,0.11314931800983141
radiomics,lightgbm,False,0.5285067873303169,0.08437427840940483,0.4886877828054299,0.07062665737008128,0.37543789543789546,0.12411117992351275,0.3538461538461538,0.13973770865065346,0.6235294117647059,0.06706914265289048
radiomics,svm_linear,False,0.4787330316742081,0.15325946157478046,0.5190045248868779,0.026798258135449844,0.09523809523809522,0.1467717619754518,0.06153846153846152,0.10029542161850226,0.9764705882352942,0.05261336417646566
volumetry,logreg,True,0.632579185520362,0.08605616349052361,0.5746606334841629,0.11961031572747788,0.4422416515597293,0.18162544004609632,0.3846153846153846,0.19611613513818404,0.7647058823529411,0.07204381596421108
volumetry,random_forest,False,0.5316742081447965,0.06936520233826195,0.5484162895927602,0.08126865632285366,0.46750278706800447,0.11320567974380684,0.4615384615384615,0.1720052290384454,0.6352941176470589,0.07669649888473706
volumetry,lightgbm,False,0.5076923076923077,0.052589036545731264,0.5235294117647059,0.06364265860013882,0.4168757672445828,0.12656666842794737,0.3999999999999999,0.15764539639937844,0.6470588235294118,0.14408763192842225
volumetry,xgboost,False,0.5018099547511312,0.036283837460143784,0.46108597285067876,0.026257993018016592,0.37620258002866697,0.04284724068406628,0.3692307692307692,0.06435846357954425,0.5529411764705883,0.0670691426528905
volumetry,svm_rbf,False,0.41719457013574657,0.10922705778576927,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
volumetry,svm_linear,False,0.411764705882353,0.12608936464337353,0.5013574660633484,0.020462296931393714,0.08982456140350877,0.13888710371275015,0.06153846153846152,0.10029542161850226,0.9411764705882352,0.07204381596421114
