fold,feature,k_chosen
0,emb_87,100
0,emb_580,100
0,emb_648,100
0,emb_248,100
0,emb_70,100
0,emb_683,100
0,emb_347,100
0,emb_749,100
0,emb_340,100
0,emb_258,100
0,emb_745,100
0,emb_68,100
0,emb_150,100
0,emb_220,100
0,emb_521,100
0,emb_556,100
0,emb_325,100
0,emb_112,100
0,emb_758,100
0,emb_449,100
0,emb_351,100
0,emb_241,100
0,emb_13,100
0,emb_571,100
0,emb_508,100
0,emb_465,100
0,emb_10,100
0,emb_1,100
0,emb_592,100
0,emb_754,100
0,emb_255,100
0,emb_143,100
0,emb_433,100
0,emb_637,100
0,emb_419,100
0,emb_438,100
0,emb_19,100
0,emb_107,100
0,emb_689,100
0,emb_399,100
0,emb_176,100
0,emb_664,100
0,emb_180,100
0,emb_582,100
0,emb_240,100
0,emb_681,100
0,emb_35,100
0,emb_740,100
0,emb_197,100
0,emb_382,100
0,emb_65,100
0,emb_663,100
0,emb_738,100
0,emb_492,100
0,emb_658,100
0,emb_90,100
0,emb_192,100
0,emb_563,100
0,emb_221,100
0,emb_71,100
0,emb_487,100
0,emb_400,100
0,emb_148,100
0,emb_656,100
0,emb_63,100
0,emb_201,100
0,emb_329,100
0,emb_424,100
0,emb_37,100
0,emb_365,100
0,emb_688,100
0,emb_84,100
0,emb_28,100
0,emb_191,100
0,emb_225,100
0,emb_86,100
0,emb_559,100
0,emb_106,100
0,emb_677,100
0,emb_50,100
0,emb_633,100
0,emb_117,100
0,emb_80,100
0,emb_46,100
0,emb_597,100
0,emb_287,100
0,emb_498,100
0,emb_473,100
0,emb_341,100
0,emb_348,100
0,emb_729,100
0,emb_383,100
0,emb_45,100
0,emb_32,100
0,emb_94,100
0,emb_418,100
0,emb_721,100
0,emb_717,100
0,emb_315,100
0,emb_649,100
1,emb_592,20
1,emb_648,20
1,emb_68,20
1,emb_37,20
1,emb_758,20
1,emb_19,20
1,emb_347,20
1,emb_248,20
1,emb_508,20
1,emb_571,20
1,emb_683,20
1,emb_465,20
1,emb_241,20
1,emb_681,20
1,emb_754,20
1,emb_351,20
1,emb_383,20
1,emb_543,20
1,emb_220,20
1,emb_59,20
2,emb_738,100
2,emb_648,100
2,emb_508,100
2,emb_1,100
2,emb_438,100
2,emb_351,100
2,emb_112,100
2,emb_241,100
2,emb_683,100
2,emb_582,100
2,emb_224,100
2,emb_637,100
2,emb_192,100
2,emb_754,100
2,emb_13,100
2,emb_592,100
2,emb_334,100
2,emb_571,100
2,emb_87,100
2,emb_208,100
2,emb_689,100
2,emb_758,100
2,emb_127,100
2,emb_387,100
2,emb_150,100
2,emb_399,100
2,emb_255,100
2,emb_248,100
2,emb_449,100
2,emb_68,100
2,emb_28,100
2,emb_584,100
2,emb_742,100
2,emb_433,100
2,emb_70,100
2,emb_45,100
2,emb_563,100
2,emb_521,100
2,emb_347,100
2,emb_207,100
2,emb_393,100
2,emb_382,100
2,emb_476,100
2,emb_566,100
2,emb_745,100
2,emb_664,100
2,emb_191,100
2,emb_465,100
2,emb_658,100
2,emb_148,100
2,emb_324,100
2,emb_419,100
2,emb_604,100
2,emb_633,100
2,emb_617,100
2,emb_320,100
2,emb_412,100
2,emb_718,100
2,emb_183,100
2,emb_90,100
2,emb_57,100
2,emb_593,100
2,emb_585,100
2,emb_59,100
2,emb_356,100
2,emb_314,100
2,emb_556,100
2,emb_487,100
2,emb_383,100
2,emb_502,100
2,emb_518,100
2,emb_197,100
2,emb_506,100
2,emb_94,100
2,emb_37,100
2,emb_243,100
2,emb_134,100
2,emb_492,100
2,emb_494,100
2,emb_31,100
2,emb_43,100
2,emb_597,100
2,emb_114,100
2,emb_176,100
2,emb_46,100
2,emb_19,100
2,emb_434,100
2,emb_65,100
2,emb_308,100
2,emb_83,100
2,emb_668,100
2,emb_457,100
2,emb_485,100
2,emb_273,100
2,emb_572,100
2,emb_712,100
2,emb_132,100
2,emb_647,100
2,emb_400,100
2,emb_10,100
3,emb_449,100
3,emb_559,100
3,emb_556,100
3,emb_571,100
3,emb_648,100
3,emb_70,100
3,emb_112,100
3,emb_68,100
3,emb_758,100
3,emb_248,100
3,emb_637,100
3,emb_351,100
3,emb_508,100
3,emb_438,100
3,emb_37,100
3,emb_208,100
3,emb_160,100
3,emb_224,100
3,emb_324,100
3,emb_255,100
3,emb_433,100
3,emb_87,100
3,emb_347,100
3,emb_45,100
3,emb_738,100
3,emb_479,100
3,emb_721,100
3,emb_59,100
3,emb_593,100
3,emb_243,100
3,emb_599,100
3,emb_681,100
3,emb_689,100
3,emb_273,100
3,emb_518,100
3,emb_180,100
3,emb_57,100
3,emb_754,100
3,emb_411,100
3,emb_325,100
3,emb_745,100
3,emb_249,100
3,emb_683,100
3,emb_688,100
3,emb_13,100
3,emb_150,100
3,emb_287,100
3,emb_63,100
3,emb_544,100
3,emb_83,100
3,emb_400,100
3,emb_148,100
3,emb_105,100
3,emb_133,100
3,emb_592,100
3,emb_41,100
3,emb_200,100
3,emb_656,100
3,emb_383,100
3,emb_462,100
3,emb_722,100
3,emb_35,100
3,emb_166,100
3,emb_545,100
3,emb_1,100
3,emb_308,100
3,emb_21,100
3,emb_761,100
3,emb_337,100
3,emb_43,100
3,emb_384,100
3,emb_185,100
3,emb_692,100
3,emb_737,100
3,emb_498,100
3,emb_340,100
3,emb_76,100
3,emb_387,100
3,emb_565,100
3,emb_117,100
3,emb_329,100
3,emb_267,100
3,emb_10,100
3,emb_533,100
3,emb_381,100
3,emb_132,100
3,emb_80,100
3,emb_566,100
3,emb_212,100
3,emb_318,100
3,emb_412,100
3,emb_760,100
3,emb_107,100
3,emb_524,100
3,emb_476,100
3,emb_321,100
3,emb_494,100
3,emb_439,100
3,emb_717,100
3,emb_77,100
4,emb_556,100
4,emb_508,100
4,emb_19,100
4,emb_387,100
4,emb_648,100
4,emb_13,100
4,emb_637,100
4,emb_68,100
4,emb_683,100
4,emb_37,100
4,emb_70,100
4,emb_208,100
4,emb_87,100
4,emb_150,100
4,emb_248,100
4,emb_465,100
4,emb_351,100
4,emb_681,100
4,emb_94,100
4,emb_664,100
4,emb_127,100
4,emb_340,100
4,emb_134,100
4,emb_689,100
4,emb_582,100
4,emb_738,100
4,emb_758,100
4,emb_1,100
4,emb_59,100
4,emb_191,100
4,emb_647,100
4,emb_400,100
4,emb_715,100
4,emb_35,100
4,emb_28,100
4,emb_183,100
4,emb_63,100
4,emb_584,100
4,emb_8,100
4,emb_580,100
4,emb_571,100
4,emb_449,100
4,emb_329,100
4,emb_160,100
4,emb_383,100
4,emb_627,100
4,emb_176,100
4,emb_190,100
4,emb_10,100
4,emb_722,100
4,emb_310,100
4,emb_290,100
4,emb_476,100
4,emb_347,100
4,emb_25,100
4,emb_85,100
4,emb_50,100
4,emb_112,100
4,emb_521,100
4,emb_544,100
4,emb_477,100
4,emb_497,100
4,emb_747,100
4,emb_496,100
4,emb_334,100
4,emb_720,100
4,emb_425,100
4,emb_505,100
4,emb_0,100
4,emb_249,100
4,emb_592,100
4,emb_243,100
4,emb_149,100
4,emb_488,100
4,emb_65,100
4,emb_677,100
4,emb_31,100
4,emb_712,100
4,emb_399,100
4,emb_200,100
4,emb_337,100
4,emb_303,100
4,emb_369,100
4,emb_314,100
4,emb_83,100
4,emb_617,100
4,emb_700,100
4,emb_221,100
4,emb_434,100
4,emb_187,100
4,emb_45,100
4,emb_201,100
4,emb_71,100
4,emb_315,100
4,emb_412,100
4,emb_194,100
4,emb_308,100
4,emb_724,100
4,emb_86,100
4,emb_418,100
