feature,n_folds_selected
emb_347,5
emb_758,5
emb_571,5
emb_508,5
emb_648,5
emb_68,5
emb_683,5
emb_383,5
emb_37,5
emb_351,5
emb_248,5
emb_592,5
emb_400,4
emb_19,4
emb_13,4
emb_637,4
emb_738,4
emb_754,4
emb_465,4
emb_1,4
emb_45,4
emb_556,4
emb_449,4
emb_87,4
emb_70,4
emb_59,4
emb_681,4
emb_112,4
emb_689,4
emb_10,4
emb_150,4
emb_433,3
emb_255,3
emb_399,3
emb_65,3
emb_387,3
emb_28,3
emb_664,3
emb_308,3
emb_476,3
emb_412,3
emb_745,3
emb_35,3
emb_340,3
emb_438,3
emb_329,3
emb_94,3
emb_243,3
emb_521,3
emb_241,3
emb_63,3
emb_208,3
emb_582,3
emb_176,3
emb_83,3
emb_148,3
emb_191,3
emb_418,2
emb_584,2
emb_419,2
emb_107,2
emb_688,2
emb_43,2
emb_597,2
emb_580,2
emb_57,2
emb_434,2
emb_566,2
emb_559,2
emb_563,2
emb_617,2
emb_544,2
emb_46,2
emb_677,2
emb_633,2
emb_658,2
emb_487,2
emb_656,2
emb_492,2
emb_518,2
emb_494,2
emb_90,2
emb_647,2
emb_498,2
emb_50,2
emb_71,2
emb_273,2
emb_192,2
emb_183,2
emb_315,2
emb_314,2
emb_31,2
emb_287,2
emb_86,2
emb_249,2
emb_721,2
emb_197,2
emb_200,2
emb_224,2
emb_221,2
emb_220,2
emb_132,2
emb_722,2
emb_201,2
emb_180,2
emb_160,2
emb_382,2
emb_325,2
emb_334,2
emb_117,2
emb_337,2
emb_134,2
emb_80,2
emb_593,2
emb_324,2
emb_717,2
emb_712,2
emb_127,2
emb_84,1
emb_604,1
emb_760,1
emb_761,1
emb_77,1
emb_8,1
emb_627,1
emb_599,1
emb_692,1
emb_76,1
emb_749,1
emb_747,1
emb_742,1
emb_740,1
emb_649,1
emb_737,1
emb_729,1
emb_663,1
emb_724,1
emb_668,1
emb_720,1
emb_718,1
emb_715,1
emb_700,1
emb_85,1
emb_0,1
emb_585,1
emb_212,1
emb_321,1
emb_320,1
emb_32,1
emb_318,1
emb_310,1
emb_303,1
emb_290,1
emb_267,1
emb_258,1
emb_25,1
emb_240,1
emb_225,1
emb_21,1
emb_572,1
emb_207,1
emb_194,1
emb_190,1
emb_187,1
emb_185,1
emb_166,1
emb_149,1
emb_143,1
emb_133,1
emb_114,1
emb_106,1
emb_105,1
emb_341,1
emb_348,1
emb_356,1
emb_365,1
emb_565,1
emb_545,1
emb_543,1
emb_533,1
emb_524,1
emb_506,1
emb_505,1
emb_502,1
emb_497,1
emb_496,1
emb_488,1
emb_485,1
emb_479,1
emb_477,1
emb_473,1
emb_462,1
emb_439,1
emb_425,1
emb_424,1
emb_411,1
emb_41,1
emb_393,1
emb_384,1
emb_381,1
emb_369,1
emb_457,1
