fold,feature,k_chosen
0,original_glszm_SizeZoneNonUniformity,100
0,emb_580,100
0,original_glszm_SizeZoneNonUniformityNormalized,100
0,original_glszm_SmallAreaEmphasis,100
0,emb_648,100
0,original_firstorder_10Percentile,100
0,original_shape_Maximum2DDiameterColumn,100
0,emb_220,100
0,emb_150,100
0,emb_571,100
0,emb_35,100
0,emb_68,100
0,emb_465,100
0,emb_347,100
0,emb_255,100
0,emb_191,100
0,emb_13,100
0,emb_745,100
0,emb_258,100
0,emb_325,100
0,emb_25,100
0,emb_754,100
0,emb_683,100
0,emb_715,100
0,emb_10,100
0,emb_377,100
0,original_ngtdm_Complexity,100
0,emb_1,100
0,emb_438,100
0,emb_94,100
0,emb_87,100
0,emb_240,100
0,emb_521,100
0,original_shape_Sphericity,100
0,emb_382,100
0,original_glszm_ZonePercentage,100
0,emb_71,100
0,emb_241,100
0,emb_677,100
0,original_ngtdm_Coarseness,100
0,emb_562,100
0,emb_449,100
0,original_firstorder_Minimum,100
0,emb_433,100
0,emb_508,100
0,emb_592,100
0,emb_749,100
0,emb_106,100
0,emb_689,100
0,emb_658,100
0,original_glcm_DifferenceVariance,100
0,emb_176,100
0,original_gldm_SmallDependenceEmphasis,100
0,emb_203,100
0,emb_351,100
0,emb_563,100
0,emb_399,100
0,emb_70,100
0,emb_248,100
0,emb_183,100
0,emb_498,100
0,emb_63,100
0,emb_192,100
0,emb_387,100
0,emb_758,100
0,emb_65,100
0,original_gldm_SmallDependenceHighGrayLevelEmphasis,100
0,original_glcm_ClusterProminence,100
0,emb_329,100
0,emb_741,100
0,original_glszm_LargeAreaHighGrayLevelEmphasis,100
0,emb_678,100
0,emb_597,100
0,emb_583,100
0,emb_250,100
0,emb_425,100
0,emb_342,100
0,emb_584,100
0,emb_493,100
0,original_glcm_SumSquares,100
0,original_glcm_ClusterTendency,100
0,original_glcm_Contrast,100
0,original_glszm_GrayLevelNonUniformity,100
0,emb_747,100
0,emb_458,100
0,original_gldm_DependenceEntropy,100
0,emb_585,100
0,emb_672,100
0,emb_31,100
0,emb_649,100
0,emb_225,100
0,emb_664,100
0,emb_610,100
0,emb_487,100
0,emb_340,100
0,emb_365,100
0,emb_663,100
0,emb_253,100
0,emb_671,100
0,original_firstorder_Range,100
1,original_glszm_SizeZoneNonUniformity,20
1,emb_68,20
1,emb_35,20
1,original_glszm_SizeZoneNonUniformityNormalized,20
1,original_glszm_SmallAreaEmphasis,20
1,original_firstorder_Minimum,20
1,emb_465,20
1,original_ngtdm_Complexity,20
1,emb_648,20
1,emb_571,20
1,emb_269,20
1,original_firstorder_10Percentile,20
1,emb_562,20
1,emb_25,20
1,emb_10,20
1,original_glszm_ZonePercentage,20
1,emb_724,20
1,original_shape_Flatness,20
1,emb_325,20
1,emb_508,20
2,original_glszm_SizeZoneNonUniformity,100
2,original_shape_Flatness,100
2,original_firstorder_10Percentile,100
2,emb_648,100
2,emb_438,100
2,original_glszm_SizeZoneNonUniformityNormalized,100
2,emb_13,100
2,emb_241,100
2,emb_754,100
2,original_glszm_SmallAreaEmphasis,100
2,emb_224,100
2,emb_192,100
2,original_firstorder_Minimum,100
2,emb_255,100
2,emb_1,100
2,emb_150,100
2,original_glcm_MaximumProbability,100
2,emb_571,100
2,emb_25,100
2,emb_521,100
2,emb_68,100
2,original_glszm_ZonePercentage,100
2,emb_689,100
2,emb_637,100
2,emb_508,100
2,emb_387,100
2,emb_191,100
2,emb_399,100
2,emb_738,100
2,emb_35,100
2,emb_592,100
2,emb_580,100
2,emb_457,100
2,emb_582,100
2,emb_243,100
2,emb_94,100
2,original_shape_LeastAxisLength,100
2,emb_563,100
2,emb_183,100
2,emb_683,100
2,original_shape_Maximum2DDiameterColumn,100
2,emb_347,100
2,emb_351,100
2,emb_584,100
2,emb_334,100
2,emb_745,100
2,original_gldm_SmallDependenceEmphasis,100
2,emb_382,100
2,emb_377,100
2,emb_633,100
2,emb_190,100
2,emb_505,100
2,emb_269,100
2,emb_10,100
2,emb_207,100
2,emb_210,100
2,emb_617,100
2,emb_208,100
2,emb_303,100
2,original_ngtdm_Complexity,100
2,emb_608,100
2,emb_556,100
2,emb_724,100
2,original_glcm_DifferenceVariance,100
2,original_shape_Maximum2DDiameterSlice,100
2,emb_718,100
2,emb_19,100
2,emb_320,100
2,emb_63,100
2,emb_668,100
2,emb_433,100
2,emb_476,100
2,emb_647,100
2,emb_585,100
2,original_glcm_ClusterProminence,100
2,emb_187,100
2,emb_758,100
2,emb_562,100
2,emb_658,100
2,emb_225,100
2,original_gldm_DependenceNonUniformityNormalized,100
2,emb_747,100
2,original_glcm_SumSquares,100
2,emb_621,100
2,original_glcm_ClusterTendency,100
2,original_shape_Maximum2DDiameterRow,100
2,emb_325,100
2,emb_127,100
2,original_glszm_GrayLevelNonUniformity,100
2,emb_434,100
2,original_glcm_Contrast,100
2,original_glcm_MCC,100
2,emb_329,100
2,emb_465,100
2,emb_449,100
2,emb_749,100
2,original_gldm_SmallDependenceHighGrayLevelEmphasis,100
2,emb_45,100
2,emb_240,100
2,emb_412,100
3,original_glszm_SizeZoneNonUniformity,100
3,original_firstorder_Minimum,100
3,emb_559,100
3,emb_68,100
3,original_glszm_SizeZoneNonUniformityNormalized,100
3,original_glszm_GrayLevelNonUniformity,100
3,original_glszm_SmallAreaEmphasis,100
3,emb_35,100
3,original_glszm_ZonePercentage,100
3,emb_637,100
3,emb_433,100
3,emb_449,100
3,emb_754,100
3,emb_571,100
3,original_firstorder_10Percentile,100
3,emb_648,100
3,emb_438,100
3,emb_250,100
3,emb_689,100
3,emb_255,100
3,emb_25,100
3,emb_160,100
3,original_gldm_SmallDependenceEmphasis,100
3,original_glcm_MaximumProbability,100
3,emb_745,100
3,emb_536,100
3,original_ngtdm_Coarseness,100
3,emb_688,100
3,emb_208,100
3,emb_556,100
3,original_shape_Maximum2DDiameterSlice,100
3,emb_224,100
3,original_shape_Maximum2DDiameterColumn,100
3,emb_758,100
3,emb_411,100
3,emb_521,100
3,original_gldm_DependenceVariance,100
3,emb_347,100
3,emb_617,100
3,emb_387,100
3,original_ngtdm_Complexity,100
3,emb_508,100
3,emb_303,100
3,emb_273,100
3,original_glcm_DifferenceVariance,100
3,emb_592,100
3,emb_183,100
3,emb_59,100
3,emb_677,100
3,emb_37,100
3,emb_13,100
3,emb_580,100
3,emb_191,100
3,emb_85,100
3,emb_70,100
3,emb_10,100
3,emb_381,100
3,emb_722,100
3,emb_749,100
3,emb_473,100
3,original_gldm_SmallDependenceHighGrayLevelEmphasis,100
3,emb_325,100
3,emb_462,100
3,emb_287,100
3,emb_150,100
3,emb_382,100
3,original_glcm_Contrast,100
3,emb_616,100
3,emb_649,100
3,emb_283,100
3,emb_761,100
3,original_shape_Sphericity,100
3,emb_19,100
3,original_shape_Flatness,100
3,emb_372,100
3,emb_133,100
3,emb_582,100
3,emb_342,100
3,emb_611,100
3,emb_430,100
3,original_glcm_DifferenceEntropy,100
3,emb_45,100
3,emb_680,100
