feature,n_folds_selected
original_glszm_SizeZoneNonUniformityNormalized,5
emb_10,5
emb_25,5
emb_68,5
emb_648,5
emb_571,5
original_glszm_SizeZoneNonUniformity,5
original_firstorder_Minimum,5
original_firstorder_10Percentile,5
original_glszm_SmallAreaEmphasis,5
original_glszm_ZonePercentage,5
emb_508,5
emb_35,5
emb_521,4
emb_580,4
emb_325,4
emb_255,4
emb_689,4
emb_1,4
emb_387,4
original_ngtdm_Complexity,4
emb_13,4
original_glszm_GrayLevelNonUniformity,4
original_gldm_SmallDependenceEmphasis,4
emb_150,4
emb_191,4
emb_183,4
original_shape_Flatness,3
emb_582,3
emb_465,3
emb_449,3
emb_556,3
emb_438,3
emb_433,3
emb_562,3
original_shape_Maximum2DDiameterColumn,3
original_glcm_ClusterProminence,3
emb_592,3
original_glcm_ClusterTendency,3
emb_637,3
original_gldm_SmallDependenceHighGrayLevelEmphasis,3
original_glcm_SumSquares,3
emb_683,3
original_glcm_DifferenceVariance,3
emb_724,3
emb_745,3
emb_382,3
emb_754,3
emb_758,3
emb_94,3
original_glcm_Contrast,3
emb_749,3
original_shape_Sphericity,3
emb_329,3
emb_208,3
emb_19,3
emb_241,3
emb_347,3
emb_269,3
emb_664,2
emb_63,2
original_glcm_MCC,2
emb_192,2
emb_563,2
emb_584,2
emb_585,2
emb_224,2
emb_617,2
emb_225,2
emb_240,2
emb_633,2
emb_543,2
emb_647,2
emb_649,2
emb_658,2
emb_747,2
emb_243,2
emb_671,2
emb_677,2
emb_715,2
emb_250,2
original_glcm_MaximumProbability,2
emb_303,2
emb_190,2
emb_176,2
emb_377,2
original_shape_Maximum2DDiameterSlice,2
emb_351,2
emb_399,2
original_shape_LeastAxisLength,2
original_ngtdm_Coarseness,2
emb_342,2
emb_45,2
original_gldm_DependenceEntropy,2
emb_70,2
emb_505,2
emb_187,2
emb_493,2
original_firstorder_Range,1
emb_711,1
original_gldm_DependenceNonUniformityNormalized,1
emb_718,1
emb_722,1
emb_248,1
emb_738,1
original_shape_Maximum2DDiameterRow,1
emb_740,1
original_glcm_DifferenceEntropy,1
emb_741,1
original_gldm_DependenceVariance,1
emb_106,1
emb_110,1
emb_210,1
emb_127,1
emb_203,1
emb_207,1
emb_133,1
emb_160,1
emb_180,1
emb_761,1
emb_85,1
emb_87,1
original_glszm_LargeAreaHighGrayLevelEmphasis,1
emb_220,1
emb_147,1
emb_37,1
emb_71,1
emb_462,1
emb_315,1
emb_536,1
emb_320,1
emb_498,1
emb_494,1
emb_487,1
emb_476,1
emb_473,1
emb_334,1
emb_458,1
emb_312,1
emb_457,1
emb_340,1
emb_434,1
emb_430,1
emb_425,1
emb_412,1
emb_411,1
emb_365,1
emb_381,1
emb_557,1
emb_31,1
emb_688,1
emb_273,1
emb_253,1
emb_680,1
emb_258,1
emb_678,1
emb_672,1
emb_668,1
emb_372,1
emb_663,1
emb_65,1
emb_621,1
emb_290,1
emb_616,1
emb_611,1
emb_610,1
emb_608,1
emb_597,1
emb_283,1
emb_59,1
emb_583,1
emb_287,1
emb_559,1
