fold,feature,k_chosen
0,original_shape_Maximum2DDiameterColumn,50
0,original_firstorder_Minimum,50
0,original_glszm_LargeAreaHighGrayLevelEmphasis,50
0,original_shape_Maximum3DDiameter,50
0,original_gldm_DependenceNonUniformityNormalized,50
0,original_glszm_SizeZoneNonUniformity,50
0,original_firstorder_10Percentile,50
0,original_firstorder_90Percentile,50
0,original_glszm_LargeAreaEmphasis,50
0,original_glszm_ZoneVariance,50
0,original_glszm_SmallAreaLowGrayLevelEmphasis,50
0,original_firstorder_InterquartileRange,50
0,original_gldm_SmallDependenceLowGrayLevelEmphasis,50
0,original_firstorder_Skewness,50
0,original_glszm_SizeZoneNonUniformityNormalized,50
0,original_gldm_DependenceVariance,50
0,original_glcm_MaximumProbability,50
0,original_firstorder_Median,50
0,original_glcm_MCC,50
0,original_shape_Maximum2DDiameterRow,50
0,original_gldm_SmallDependenceEmphasis,50
0,original_glszm_SmallAreaEmphasis,50
0,original_glszm_HighGrayLevelZoneEmphasis,50
0,original_ngtdm_Complexity,50
0,original_gldm_SmallDependenceHighGrayLevelEmphasis,50
0,original_glszm_LowGrayLevelZoneEmphasis,50
0,original_glcm_ClusterShade,50
0,original_ngtdm_Coarseness,50
0,original_glszm_LargeAreaLowGrayLevelEmphasis,50
0,original_glszm_ZonePercentage,50
0,original_glszm_SmallAreaHighGrayLevelEmphasis,50
0,original_glcm_ClusterProminence,50
0,original_shape_LeastAxisLength,50
0,original_glrlm_HighGrayLevelRunEmphasis,50
0,original_firstorder_Kurtosis,50
0,original_shape_Sphericity,50
0,original_glszm_GrayLevelNonUniformityNormalized,50
0,original_firstorder_Uniformity,50
0,original_glcm_JointEnergy,50
0,original_gldm_HighGrayLevelEmphasis,50
0,original_glcm_Imc1,50
0,original_firstorder_Range,50
0,original_firstorder_RobustMeanAbsoluteDeviation,50
0,original_glcm_DifferenceEntropy,50
0,original_shape_SurfaceVolumeRatio,50
0,original_gldm_DependenceEntropy,50
0,original_glrlm_RunEntropy,50
0,original_glcm_ClusterTendency,50
0,original_glcm_SumSquares,50
