feature,n_folds_selected
original_firstorder_InterquartileRange,5
original_shape_Maximum2DDiameterColumn,5
original_gldm_SmallDependenceLowGrayLevelEmphasis,5
original_firstorder_Minimum,5
original_glszm_SizeZoneNonUniformity,5
original_firstorder_Skewness,5
original_glszm_SmallAreaLowGrayLevelEmphasis,5
original_firstorder_10Percentile,4
original_glszm_ZoneVariance,4
original_glcm_MaximumProbability,4
original_gldm_DependenceVariance,4
original_firstorder_90Percentile,4
original_glcm_Imc1,4
original_glszm_LargeAreaEmphasis,4
original_glszm_LargeAreaHighGrayLevelEmphasis,4
original_glcm_ClusterProminence,4
original_gldm_DependenceEntropy,4
original_ngtdm_Complexity,4
original_firstorder_Range,4
original_shape_Maximum2DDiameterRow,4
original_glszm_ZonePercentage,3
original_shape_LeastAxisLength,3
original_shape_SurfaceVolumeRatio,3
original_gldm_DependenceNonUniformityNormalized,3
original_shape_Sphericity,3
original_gldm_GrayLevelNonUniformity,3
original_gldm_HighGrayLevelEmphasis,3
original_shape_Maximum3DDiameter,3
original_gldm_SmallDependenceHighGrayLevelEmphasis,3
original_glszm_HighGrayLevelZoneEmphasis,3
original_glrlm_HighGrayLevelRunEmphasis,3
original_ngtdm_Coarseness,3
original_shape_Flatness,3
original_glszm_LargeAreaLowGrayLevelEmphasis,3
original_glszm_LowGrayLevelZoneEmphasis,3
original_ngtdm_Strength,3
original_glszm_SizeZoneNonUniformityNormalized,3
original_glszm_SmallAreaEmphasis,3
original_glcm_SumSquares,3
original_glszm_SmallAreaHighGrayLevelEmphasis,3
original_gldm_SmallDependenceEmphasis,3
original_firstorder_Median,3
original_firstorder_Uniformity,3
original_glcm_MCC,3
original_glcm_JointEnergy,3
original_firstorder_Kurtosis,3
original_glcm_DifferenceEntropy,3
original_glcm_Idmn,3
original_glcm_ClusterTendency,3
original_glcm_ClusterShade,3
original_glcm_SumEntropy,2
original_firstorder_Variance,2
original_glszm_ZoneEntropy,2
original_glcm_DifferenceAverage,2
original_glcm_Autocorrelation,2
original_glcm_DifferenceVariance,2
original_glcm_Id,2
original_glcm_Idm,2
original_ngtdm_Busyness,2
original_ngtdm_Contrast,2
original_firstorder_RootMeanSquared,2
original_glszm_GrayLevelNonUniformityNormalized,2
original_firstorder_RobustMeanAbsoluteDeviation,2
original_shape_Elongation,2
original_firstorder_MeanAbsoluteDeviation,2
original_shape_MajorAxisLength,2
original_firstorder_Mean,2
original_firstorder_Maximum,2
original_shape_Maximum2DDiameterSlice,2
original_shape_MeshVolume,2
original_shape_MinorAxisLength,2
original_firstorder_Entropy,2
original_glcm_SumAverage,2
original_glszm_GrayLevelVariance,2
original_glszm_GrayLevelNonUniformity,2
original_glrlm_LongRunEmphasis,2
original_gldm_DependenceNonUniformity,2
original_glcm_JointEntropy,2
original_gldm_GrayLevelVariance,2
original_glcm_JointAverage,2
original_gldm_LargeDependenceHighGrayLevelEmphasis,2
original_gldm_LargeDependenceLowGrayLevelEmphasis,2
original_gldm_LowGrayLevelEmphasis,2
original_glcm_Imc2,2
original_glrlm_GrayLevelNonUniformity,2
original_glrlm_GrayLevelNonUniformityNormalized,2
original_glrlm_ShortRunLowGrayLevelEmphasis,2
original_glrlm_GrayLevelVariance,2
original_glrlm_LongRunHighGrayLevelEmphasis,2
original_glrlm_LongRunLowGrayLevelEmphasis,2
original_glrlm_RunEntropy,2
original_glrlm_RunLengthNonUniformity,2
original_glrlm_ShortRunHighGrayLevelEmphasis,2
original_glrlm_RunLengthNonUniformityNormalized,2
original_glrlm_ShortRunEmphasis,2
original_glrlm_RunVariance,2
original_glrlm_RunPercentage,1
original_firstorder_Energy,1
original_shape_SurfaceArea,1
original_glcm_Contrast,1
original_gldm_LargeDependenceEmphasis,1
original_glcm_Correlation,1
original_firstorder_TotalEnergy,1
original_glcm_InverseVariance,1
original_glcm_Idn,1
original_glrlm_LowGrayLevelRunEmphasis,1
original_shape_VoxelVolume,1
