fold,feature,k_chosen
0,emb_266,50
0,emb_243,50
0,emb_223,50
0,emb_534,50
0,emb_8,50
0,emb_111,50
0,emb_336,50
0,emb_753,50
0,emb_107,50
0,emb_524,50
0,emb_37,50
0,emb_150,50
0,emb_393,50
0,emb_105,50
0,emb_396,50
0,emb_588,50
0,emb_208,50
0,emb_232,50
0,emb_59,50
0,emb_203,50
0,emb_383,50
0,emb_356,50
0,emb_541,50
0,emb_543,50
0,emb_462,50
0,emb_39,50
0,emb_252,50
0,emb_512,50
0,emb_102,50
0,emb_583,50
0,emb_607,50
0,emb_587,50
0,emb_602,50
0,emb_269,50
0,emb_724,50
0,emb_78,50
0,emb_440,50
0,emb_285,50
0,emb_423,50
0,emb_560,50
0,emb_377,50
0,emb_245,50
0,emb_295,50
0,emb_556,50
0,emb_275,50
0,emb_169,50
0,emb_757,50
0,emb_166,50
0,emb_359,50
0,emb_270,50
1,emb_223,50
1,emb_335,50
1,emb_541,50
1,emb_646,50
1,emb_356,50
1,emb_1,50
1,emb_588,50
1,emb_37,50
1,emb_105,50
1,emb_169,50
1,emb_245,50
1,emb_150,50
1,emb_243,50
1,emb_111,50
1,emb_559,50
1,emb_58,50
1,emb_534,50
1,emb_374,50
1,emb_641,50
1,emb_626,50
1,emb_322,50
1,emb_557,50
1,emb_377,50
1,emb_649,50
1,emb_396,50
1,emb_308,50
1,emb_210,50
1,emb_401,50
1,emb_166,50
1,emb_314,50
1,emb_587,50
1,emb_102,50
1,emb_466,50
1,emb_266,50
1,emb_410,50
1,emb_753,50
1,emb_8,50
1,emb_560,50
1,emb_230,50
1,emb_203,50
1,emb_575,50
1,emb_556,50
1,emb_583,50
1,emb_0,50
1,emb_270,50
1,emb_593,50
1,emb_68,50
1,emb_232,50
1,emb_101,50
1,emb_269,50
2,emb_223,50
2,emb_203,50
2,emb_243,50
2,emb_541,50
2,emb_111,50
2,emb_556,50
2,emb_356,50
2,emb_512,50
2,emb_587,50
2,emb_753,50
2,emb_21,50
2,emb_166,50
2,emb_245,50
2,emb_71,50
2,emb_59,50
2,emb_396,50
2,emb_70,50
2,emb_58,50
2,emb_678,50
2,emb_115,50
2,emb_402,50
2,emb_588,50
2,emb_646,50
2,emb_208,50
2,emb_131,50
2,emb_160,50
2,emb_374,50
2,emb_8,50
2,emb_40,50
2,emb_102,50
2,emb_459,50
2,emb_466,50
2,emb_748,50
2,emb_560,50
2,emb_607,50
2,emb_564,50
2,emb_117,50
2,emb_322,50
2,emb_68,50
2,emb_558,50
2,emb_451,50
2,emb_225,50
2,emb_326,50
2,emb_5,50
2,emb_545,50
2,emb_106,50
2,emb_747,50
2,emb_602,50
2,emb_150,50
2,emb_47,50
3,emb_223,50
3,emb_646,50
3,emb_150,50
3,emb_266,50
3,emb_203,50
3,emb_245,50
3,emb_102,50
3,emb_541,50
3,emb_243,50
3,emb_396,50
3,emb_645,50
3,emb_166,50
3,emb_583,50
3,emb_556,50
3,emb_599,50
3,emb_753,50
3,emb_390,50
3,emb_453,50
3,emb_117,50
3,emb_269,50
3,emb_575,50
3,emb_534,50
3,emb_688,50
3,emb_560,50
3,emb_451,50
3,emb_111,50
3,emb_545,50
3,emb_608,50
3,emb_58,50
3,emb_232,50
3,emb_678,50
3,emb_524,50
3,emb_582,50
3,emb_335,50
3,emb_356,50
3,emb_592,50
3,emb_626,50
3,emb_393,50
3,emb_355,50
3,emb_587,50
3,emb_303,50
3,emb_660,50
3,emb_588,50
3,emb_8,50
3,emb_466,50
3,emb_347,50
3,emb_610,50
3,emb_224,50
3,emb_512,50
3,emb_115,50
4,emb_541,20
4,emb_336,20
4,emb_223,20
4,emb_646,20
4,emb_243,20
4,emb_374,20
4,emb_245,20
4,emb_285,20
4,emb_688,20
4,emb_266,20
4,emb_208,20
4,emb_11,20
4,emb_189,20
4,emb_37,20
4,emb_396,20
4,emb_166,20
4,emb_203,20
4,emb_534,20
4,emb_390,20
4,emb_453,20
