feature,n_folds_selected
emb_203,5
emb_541,5
emb_396,5
emb_245,5
emb_243,5
emb_223,5
emb_166,5
emb_8,4
emb_534,4
emb_560,4
emb_587,4
emb_588,4
emb_356,4
emb_646,4
emb_266,4
emb_556,4
emb_150,4
emb_111,4
emb_753,4
emb_102,4
emb_583,3
emb_58,3
emb_512,3
emb_37,3
emb_374,3
emb_269,3
emb_466,3
emb_232,3
emb_208,3
emb_336,2
emb_377,2
emb_390,2
emb_393,2
emb_453,2
emb_169,2
emb_59,2
emb_451,2
emb_602,2
emb_607,2
emb_575,2
emb_105,2
emb_335,2
emb_626,2
emb_545,2
emb_285,2
emb_115,2
emb_270,2
emb_117,2
emb_322,2
emb_524,2
emb_688,2
emb_678,2
emb_68,2
emb_558,1
emb_564,1
emb_78,1
emb_559,1
emb_71,1
emb_599,1
emb_582,1
emb_757,1
emb_748,1
emb_592,1
emb_593,1
emb_608,1
emb_557,1
emb_641,1
emb_645,1
emb_649,1
emb_747,1
emb_660,1
emb_724,1
emb_70,1
emb_610,1
emb_0,1
emb_543,1
emb_5,1
emb_295,1
emb_275,1
emb_252,1
emb_230,1
emb_225,1
emb_224,1
emb_210,1
emb_21,1
emb_189,1
emb_160,1
emb_131,1
emb_11,1
emb_107,1
emb_106,1
emb_101,1
emb_303,1
emb_308,1
emb_314,1
emb_402,1
emb_47,1
emb_462,1
emb_459,1
emb_440,1
emb_423,1
emb_410,1
emb_1,1
emb_326,1
emb_40,1
emb_39,1
emb_383,1
emb_359,1
emb_355,1
emb_347,1
emb_401,1
