fold,feature,k_chosen
0,original_shape_Maximum2DDiameterColumn,20
0,emb_243,20
0,emb_266,20
0,emb_223,20
0,emb_534,20
0,original_firstorder_Skewness,20
0,emb_37,20
0,emb_203,20
0,emb_150,20
0,original_glrlm_LongRunHighGrayLevelEmphasis,20
0,emb_383,20
0,emb_285,20
0,emb_8,20
0,emb_336,20
0,emb_111,20
0,original_glcm_ClusterShade,20
0,emb_607,20
0,emb_105,20
0,emb_541,20
0,emb_208,20
1,emb_223,100
1,emb_541,100
1,emb_335,100
1,emb_534,100
1,original_gldm_DependenceEntropy,100
1,emb_356,100
1,emb_646,100
1,emb_588,100
1,emb_245,100
1,original_glszm_GrayLevelVariance,100
1,emb_314,100
1,emb_203,100
1,emb_102,100
1,emb_1,100
1,emb_105,100
1,emb_150,100
1,emb_243,100
1,original_firstorder_Skewness,100
1,emb_739,100
1,emb_37,100
1,emb_377,100
1,emb_626,100
1,original_glszm_LargeAreaLowGrayLevelEmphasis,100
1,emb_575,100
1,emb_466,100
1,emb_8,100
1,emb_545,100
1,emb_169,100
1,emb_68,100
1,original_glcm_ClusterShade,100
1,emb_587,100
1,emb_310,100
1,emb_557,100
1,emb_111,100
1,original_glcm_MCC,100
1,emb_253,100
1,emb_607,100
1,emb_270,100
1,emb_410,100
1,emb_647,100
1,original_shape_MinorAxisLength,100
1,original_shape_Flatness,100
1,emb_396,100
1,emb_240,100
1,original_firstorder_InterquartileRange,100
1,emb_58,100
1,emb_649,100
1,emb_374,100
1,emb_440,100
1,emb_78,100
1,emb_0,100
1,emb_129,100
1,emb_351,100
1,original_ngtdm_Busyness,100
1,emb_232,100
1,emb_210,100
1,original_shape_Elongation,100
1,emb_101,100
1,emb_560,100
1,emb_308,100
1,original_shape_LeastAxisLength,100
1,emb_441,100
1,emb_597,100
1,emb_322,100
1,emb_385,100
1,original_glszm_HighGrayLevelZoneEmphasis,100
1,emb_81,100
1,emb_176,100
1,emb_230,100
1,emb_71,100
1,original_gldm_SmallDependenceLowGrayLevelEmphasis,100
1,emb_401,100
1,emb_630,100
1,emb_297,100
1,original_ngtdm_Contrast,100
1,emb_400,100
1,emb_117,100
1,original_glrlm_RunEntropy,100
1,emb_274,100
1,original_glszm_SmallAreaLowGrayLevelEmphasis,100
1,emb_593,100
1,emb_185,100
1,emb_527,100
1,emb_206,100
1,emb_452,100
1,emb_691,100
1,emb_437,100
1,emb_678,100
1,emb_641,100
1,emb_224,100
1,emb_208,100
1,emb_443,100
1,emb_225,100
1,original_glszm_LargeAreaHighGrayLevelEmphasis,100
1,original_firstorder_90Percentile,100
1,emb_156,100
1,emb_602,100
1,emb_315,100
1,emb_700,100
1,emb_583,100
2,emb_203,100
2,emb_111,100
2,emb_541,100
2,emb_243,100
2,emb_512,100
2,emb_223,100
2,emb_587,100
2,emb_678,100
2,emb_59,100
2,emb_70,100
2,emb_160,100
2,original_shape_Maximum2DDiameterColumn,100
2,emb_71,100
2,emb_245,100
2,emb_47,100
2,original_glszm_GrayLevelVariance,100
2,emb_753,100
2,original_gldm_DependenceEntropy,100
2,emb_556,100
2,emb_607,100
2,emb_605,100
2,emb_40,100
2,original_firstorder_Kurtosis,100
2,emb_534,100
2,emb_647,100
2,emb_5,100
2,original_firstorder_Skewness,100
2,emb_646,100
2,emb_560,100
2,emb_58,100
2,emb_340,100
2,emb_371,100
2,emb_117,100
2,emb_102,100
2,emb_564,100
2,emb_166,100
2,emb_78,100
2,emb_558,100
2,emb_310,100
2,original_gldm_SmallDependenceLowGrayLevelEmphasis,100
2,emb_466,100
2,emb_748,100
2,emb_21,100
