feature,n_folds_selected
emb_203,5
emb_312,5
emb_253,5
emb_715,5
emb_413,4
emb_647,4
emb_644,4
emb_221,4
emb_118,4
emb_441,4
original_shape_Sphericity,4
original_shape_Maximum2DDiameterColumn,4
emb_565,4
emb_739,3
emb_72,3
emb_451,3
emb_66,3
emb_46,3
emb_310,3
emb_563,3
emb_667,3
emb_740,3
emb_59,3
emb_435,3
emb_569,3
emb_382,2
emb_688,2
original_shape_SurfaceVolumeRatio,2
emb_65,2
emb_47,2
emb_477,2
emb_637,2
emb_528,2
emb_531,2
emb_543,2
emb_550,2
emb_553,2
emb_593,2
emb_479,2
emb_588,2
emb_723,2
emb_303,2
original_shape_Maximum2DDiameterRow,2
emb_147,2
emb_169,2
emb_355,2
original_firstorder_Minimum,2
emb_262,2
original_firstorder_Skewness,2
emb_35,2
emb_331,2
emb_664,1
emb_595,1
original_glszm_HighGrayLevelZoneEmphasis,1
original_glszm_SizeZoneNonUniformityNormalized,1
emb_633,1
original_glszm_SmallAreaEmphasis,1
emb_607,1
original_glszm_ZoneEntropy,1
emb_737,1
original_glrlm_LongRunLowGrayLevelEmphasis,1
original_shape_Flatness,1
emb_591,1
emb_710,1
original_shape_Maximum3DDiameter,1
original_glszm_GrayLevelVariance,1
emb_638,1
emb_74,1
emb_641,1
original_gldm_LargeDependenceLowGrayLevelEmphasis,1
emb_645,1
original_glcm_ClusterShade,1
emb_70,1
emb_738,1
emb_674,1
original_firstorder_Kurtosis,1
emb_86,1
emb_82,1
emb_80,1
emb_656,1
emb_76,1
emb_661,1
emb_717,1
emb_100,1
emb_567,1
emb_348,1
emb_332,1
emb_327,1
emb_317,1
emb_307,1
emb_286,1
emb_285,1
emb_284,1
emb_277,1
emb_261,1
emb_246,1
emb_243,1
emb_230,1
emb_229,1
emb_214,1
emb_20,1
emb_184,1
emb_177,1
emb_151,1
emb_150,1
emb_13,1
emb_127,1
emb_123,1
emb_121,1
emb_337,1
emb_358,1
emb_561,1
emb_361,1
emb_560,1
emb_557,1
emb_55,1
emb_549,1
emb_535,1
emb_513,1
emb_497,1
emb_495,1
emb_494,1
emb_486,1
emb_483,1
emb_452,1
emb_425,1
emb_420,1
emb_416,1
emb_410,1
emb_408,1
emb_402,1
emb_385,1
emb_383,1
emb_381,1
emb_37,1
emb_364,1
emb_520,1
