fold,feature,k_chosen
0,original_shape_Maximum2DDiameterRow,100
0,original_glszm_HighGrayLevelZoneEmphasis,100
0,original_shape_Maximum2DDiameterColumn,100
0,original_firstorder_Skewness,100
0,original_glszm_LargeAreaLowGrayLevelEmphasis,100
0,original_glszm_SmallAreaHighGrayLevelEmphasis,100
0,original_firstorder_Kurtosis,100
0,original_gldm_SmallDependenceLowGrayLevelEmphasis,100
0,original_glszm_LargeAreaHighGrayLevelEmphasis,100
0,original_glrlm_LongRunLowGrayLevelEmphasis,100
0,original_firstorder_Minimum,100
0,original_glcm_Correlation,100
0,original_glcm_MaximumProbability,100
0,original_glrlm_LongRunHighGrayLevelEmphasis,100
0,original_glszm_LargeAreaEmphasis,100
0,original_glszm_ZoneVariance,100
0,original_firstorder_RobustMeanAbsoluteDeviation,100
0,original_glrlm_RunEntropy,100
0,original_gldm_LargeDependenceHighGrayLevelEmphasis,100
0,original_shape_Sphericity,100
0,original_glszm_ZoneEntropy,100
0,original_glszm_GrayLevelNonUniformityNormalized,100
0,original_glrlm_ShortRunEmphasis,100
0,original_glszm_GrayLevelVariance,100
0,original_gldm_LowGrayLevelEmphasis,100
0,original_glrlm_LowGrayLevelRunEmphasis,100
0,original_firstorder_MeanAbsoluteDeviation,100
0,original_glcm_DifferenceVariance,100
0,original_glszm_GrayLevelNonUniformity,100
0,original_glrlm_RunLengthNonUniformityNormalized,100
0,original_glrlm_ShortRunLowGrayLevelEmphasis,100
0,original_shape_Maximum2DDiameterSlice,100
0,original_glrlm_ShortRunHighGrayLevelEmphasis,100
0,original_shape_MinorAxisLength,100
0,original_ngtdm_Busyness,100
0,original_glszm_ZonePercentage,100
0,original_shape_Maximum3DDiameter,100
0,original_glszm_SmallAreaEmphasis,100
0,original_glszm_SizeZoneNonUniformityNormalized,100
0,original_glcm_Contrast,100
0,original_shape_MajorAxisLength,100
0,original_glcm_Idmn,100
0,original_gldm_LargeDependenceEmphasis,100
0,original_glrlm_RunPercentage,100
0,original_gldm_DependenceNonUniformityNormalized,100
0,original_glrlm_HighGrayLevelRunEmphasis,100
0,original_glcm_Imc2,100
0,original_glcm_Imc1,100
0,original_glrlm_RunLengthNonUniformity,100
0,original_firstorder_10Percentile,100
0,original_glcm_ClusterProminence,100
0,original_glcm_Idm,100
0,original_ngtdm_Complexity,100
0,original_shape_SurfaceArea,100
0,original_glcm_Id,100
0,original_glcm_ClusterShade,100
0,original_shape_Flatness,100
0,original_glrlm_LongRunEmphasis,100
0,original_glcm_Autocorrelation,100
0,original_firstorder_Variance,100
0,original_gldm_GrayLevelNonUniformity,100
0,original_glcm_SumEntropy,100
0,original_gldm_SmallDependenceEmphasis,100
0,original_firstorder_Uniformity,100
0,original_gldm_GrayLevelVariance,100
0,original_glszm_SmallAreaLowGrayLevelEmphasis,100
0,original_ngtdm_Strength,100
0,original_firstorder_90Percentile,100
0,original_glrlm_GrayLevelNonUniformity,100
0,original_glcm_ClusterTendency,100
0,original_glcm_MCC,100
0,original_gldm_HighGrayLevelEmphasis,100
0,original_firstorder_Mean,100
0,original_shape_VoxelVolume,100
0,original_shape_MeshVolume,100
0,original_gldm_SmallDependenceHighGrayLevelEmphasis,100
0,original_ngtdm_Coarseness,100
0,original_glcm_JointAverage,100
0,original_glcm_SumAverage,100
0,original_glcm_SumSquares,100
0,original_glrlm_GrayLevelVariance,100
0,original_glszm_SizeZoneNonUniformity,100
0,original_firstorder_Median,100
0,original_firstorder_Entropy,100
0,original_firstorder_RootMeanSquared,100
0,original_ngtdm_Contrast,100
0,original_shape_SurfaceVolumeRatio,100
0,original_firstorder_Maximum,100
0,original_glcm_DifferenceAverage,100
0,original_shape_Elongation,100
0,original_gldm_LargeDependenceLowGrayLevelEmphasis,100
0,original_glcm_InverseVariance,100
0,original_shape_LeastAxisLength,100
0,original_glrlm_GrayLevelNonUniformityNormalized,100
0,original_firstorder_InterquartileRange,100
0,original_gldm_DependenceEntropy,100
0,original_glcm_DifferenceEntropy,100
0,original_firstorder_TotalEnergy,100
0,original_firstorder_Energy,100
0,original_gldm_DependenceNonUniformity,100
1,original_shape_Maximum2DDiameterRow,50
1,original_firstorder_Kurtosis,50
1,original_glszm_SmallAreaHighGrayLevelEmphasis,50
1,original_shape_Maximum2DDiameterColumn,50
1,original_shape_Maximum3DDiameter,50
1,original_firstorder_InterquartileRange,50
1,original_firstorder_Maximum,50
1,original_glszm_LargeAreaLowGrayLevelEmphasis,50
1,original_firstorder_Minimum,50
1,original_glszm_LowGrayLevelZoneEmphasis,50
1,original_firstorder_RobustMeanAbsoluteDeviation,50
1,original_firstorder_Range,50
1,original_gldm_LargeDependenceHighGrayLevelEmphasis,50
1,original_glszm_GrayLevelNonUniformityNormalized,50
1,original_glszm_SizeZoneNonUniformity,50
1,original_glszm_LargeAreaHighGrayLevelEmphasis,50
1,original_glrlm_ShortRunLowGrayLevelEmphasis,50
1,original_shape_MajorAxisLength,50
1,original_glrlm_LowGrayLevelRunEmphasis,50
1,original_glszm_HighGrayLevelZoneEmphasis,50
1,original_firstorder_Median,50
1,original_glrlm_LongRunHighGrayLevelEmphasis,50
1,original_glszm_LargeAreaEmphasis,50
1,original_glszm_ZoneVariance,50
1,original_glcm_ClusterProminence,50
1,original_shape_Sphericity,50
1,original_shape_Flatness,50
1,original_gldm_LowGrayLevelEmphasis,50
1,original_firstorder_MeanAbsoluteDeviation,50
1,original_glrlm_LongRunLowGrayLevelEmphasis,50
1,original_glcm_Idmn,50
1,original_ngtdm_Complexity,50
1,original_glrlm_RunEntropy,50
1,original_gldm_SmallDependenceLowGrayLevelEmphasis,50
1,original_glrlm_RunVariance,50
1,original_glszm_SizeZoneNonUniformityNormalized,50
1,original_glcm_DifferenceVariance,50
1,original_glcm_ClusterShade,50
1,original_firstorder_10Percentile,50
1,original_firstorder_90Percentile,50
1,original_glszm_SmallAreaLowGrayLevelEmphasis,50
1,original_glcm_Correlation,50
1,original_glcm_ClusterTendency,50
1,original_firstorder_Variance,50
1,original_gldm_GrayLevelVariance,50
1,original_glszm_GrayLevelNonUniformity,50
1,original_firstorder_Uniformity,50
1,original_glcm_SumAverage,50
1,original_glcm_JointAverage,50
1,original_gldm_DependenceNonUniformity,50
2,original_firstorder_Kurtosis,50
2,original_glszm_LargeAreaLowGrayLevelEmphasis,50
2,original_shape_Maximum2DDiameterRow,50
2,original_shape_Maximum2DDiameterSlice,50
2,original_glszm_SmallAreaHighGrayLevelEmphasis,50
2,original_shape_Maximum3DDiameter,50
2,original_shape_Maximum2DDiameterColumn,50
2,original_glcm_ClusterProminence,50
2,original_glszm_LargeAreaHighGrayLevelEmphasis,50
2,original_glrlm_RunEntropy,50
2,original_glszm_ZoneEntropy,50
2,original_glszm_LargeAreaEmphasis,50
2,original_glszm_ZoneVariance,50
2,original_firstorder_10Percentile,50
2,original_glrlm_LongRunLowGrayLevelEmphasis,50
2,original_shape_Sphericity,50
2,original_glszm_HighGrayLevelZoneEmphasis,50
2,original_gldm_DependenceVariance,50
2,original_glszm_LowGrayLevelZoneEmphasis,50
2,original_glcm_ClusterShade,50
2,original_glrlm_ShortRunEmphasis,50
2,original_glszm_GrayLevelVariance,50
2,original_glszm_GrayLevelNonUniformity,50
2,original_glszm_SizeZoneNonUniformity,50
2,original_ngtdm_Complexity,50
2,original_glcm_ClusterTendency,50
2,original_gldm_DependenceEntropy,50
2,original_gldm_GrayLevelVariance,50
2,original_glszm_SizeZoneNonUniformityNormalized,50
2,original_glrlm_RunLengthNonUniformityNormalized,50
2,original_firstorder_Variance,50
2,original_glrlm_ShortRunLowGrayLevelEmphasis,50
2,original_glrlm_GrayLevelNonUniformityNormalized,50
2,original_glcm_SumSquares,50
2,original_firstorder_Minimum,50
2,original_shape_Flatness,50
2,original_glszm_ZonePercentage,50
2,original_gldm_SmallDependenceLowGrayLevelEmphasis,50
2,original_firstorder_InterquartileRange,50
2,original_glcm_Imc1,50
2,original_gldm_DependenceNonUniformity,50
2,original_firstorder_Median,50
2,original_firstorder_Uniformity,50
2,original_glcm_SumEntropy,50
2,original_ngtdm_Contrast,50
2,original_glrlm_GrayLevelNonUniformity,50
2,original_glrlm_LowGrayLevelRunEmphasis,50
2,original_glrlm_RunLengthNonUniformity,50
2,original_glrlm_ShortRunHighGrayLevelEmphasis,50
2,original_gldm_LargeDependenceLowGrayLevelEmphasis,50
3,original_firstorder_Kurtosis,50
