feature,n_folds_selected
original_firstorder_10Percentile,5
original_glszm_SmallAreaHighGrayLevelEmphasis,5
original_shape_Maximum2DDiameterRow,5
original_shape_Maximum2DDiameterColumn,5
original_shape_Flatness,5
original_glszm_LargeAreaLowGrayLevelEmphasis,5
original_glszm_ZoneVariance,5
original_gldm_GrayLevelVariance,5
original_gldm_SmallDependenceLowGrayLevelEmphasis,5
original_glrlm_LongRunLowGrayLevelEmphasis,5
original_glcm_ClusterProminence,5
original_glrlm_LowGrayLevelRunEmphasis,5
original_glrlm_RunEntropy,5
original_glszm_SizeZoneNonUniformity,5
original_glrlm_ShortRunLowGrayLevelEmphasis,5
original_glszm_GrayLevelNonUniformity,5
original_glszm_HighGrayLevelZoneEmphasis,5
original_glszm_LargeAreaEmphasis,5
original_glcm_ClusterTendency,5
original_glszm_LargeAreaHighGrayLevelEmphasis,5
original_firstorder_Minimum,5
original_firstorder_Variance,5
original_firstorder_Uniformity,5
original_firstorder_InterquartileRange,5
original_firstorder_Kurtosis,5
original_shape_Maximum3DDiameter,5
original_shape_Sphericity,5
original_firstorder_Median,5
original_glszm_ZoneEntropy,4
original_firstorder_RobustMeanAbsoluteDeviation,4
original_gldm_LargeDependenceHighGrayLevelEmphasis,4
original_gldm_LargeDependenceLowGrayLevelEmphasis,4
original_gldm_LowGrayLevelEmphasis,4
original_firstorder_MeanAbsoluteDeviation,4
original_glszm_SizeZoneNonUniformityNormalized,4
original_glrlm_LongRunHighGrayLevelEmphasis,4
original_gldm_DependenceEntropy,4
original_glrlm_ShortRunEmphasis,4
original_glszm_GrayLevelNonUniformityNormalized,4
original_gldm_DependenceNonUniformity,4
original_glcm_SumAverage,4
original_glcm_SumSquares,4
original_ngtdm_Complexity,4
original_glcm_SumEntropy,4
original_glcm_JointAverage,4
original_shape_Elongation,3
original_gldm_DependenceNonUniformityNormalized,3
original_glszm_GrayLevelVariance,3
original_glcm_Correlation,3
original_shape_MajorAxisLength,3
original_glcm_DifferenceVariance,3
original_glrlm_ShortRunHighGrayLevelEmphasis,3
original_glszm_LowGrayLevelZoneEmphasis,3
original_firstorder_Maximum,3
original_glrlm_RunLengthNonUniformityNormalized,3
original_glrlm_RunLengthNonUniformity,3
original_glcm_Idmn,3
original_glcm_Imc1,3
original_firstorder_Skewness,3
original_glcm_ClusterShade,3
original_ngtdm_Contrast,3
original_glrlm_GrayLevelNonUniformityNormalized,3
original_glrlm_GrayLevelNonUniformity,3
original_shape_MinorAxisLength,3
original_firstorder_90Percentile,3
original_glszm_SmallAreaLowGrayLevelEmphasis,3
original_gldm_DependenceVariance,3
original_ngtdm_Busyness,3
original_glcm_MaximumProbability,3
original_shape_Maximum2DDiameterSlice,3
original_glszm_ZonePercentage,3
original_ngtdm_Strength,2
original_shape_SurfaceArea,2
original_shape_SurfaceVolumeRatio,2
original_shape_LeastAxisLength,2
original_glszm_SmallAreaEmphasis,2
original_shape_MeshVolume,2
original_shape_VoxelVolume,2
original_glrlm_RunVariance,2
original_glrlm_RunPercentage,2
original_firstorder_Energy,2
original_firstorder_Entropy,2
original_firstorder_Mean,2
original_firstorder_Range,2
original_firstorder_RootMeanSquared,2
original_firstorder_TotalEnergy,2
original_glcm_Autocorrelation,2
original_glcm_Contrast,2
original_glcm_DifferenceAverage,2
original_glcm_Id,2
original_glcm_Idm,2
original_glcm_Imc2,2
original_glcm_InverseVariance,2
original_glcm_MCC,2
original_gldm_GrayLevelNonUniformity,2
original_gldm_LargeDependenceEmphasis,2
original_gldm_SmallDependenceEmphasis,2
original_glrlm_GrayLevelVariance,2
original_glrlm_HighGrayLevelRunEmphasis,2
original_glrlm_LongRunEmphasis,2
original_glcm_JointEnergy,1
original_glcm_JointEntropy,1
original_glcm_DifferenceEntropy,1
original_ngtdm_Coarseness,1
original_gldm_HighGrayLevelEmphasis,1
original_gldm_SmallDependenceHighGrayLevelEmphasis,1
